row_label_raw,row_label_full,col_0,Giá trị hợp lý thông qua BCKQHĐ VND,Cho vay và phải thu VND,Sẵn sàng để bán VND,Hạch toán theo giá trị phân bổ VND,Tổng cộng giá trị ghi số VND,Giá trị hợp lý VND,numeric__Giá trị hợp lý thông qua BCKQHĐ VND,numeric__Cho vay và phải thu VND,numeric__Sẵn sàng để bán VND,numeric__Hạch toán theo giá trị phân bổ VND,numeric__Tổng cộng giá trị ghi số VND,numeric__Giá trị hợp lý VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,1.160.353.537.112,-,-,1.160.353.537.112,1.160.353.537.112,,1160353537112.0,,,1160353537112.0,1160353537112.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,2.883.240.107.112,-,-,2.883.240.107.112,2.883.240.107.112,,2883240107112.0,,,2883240107112.0,2883240107112.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,53.061.333.717.576,-,-,53.061.333.717.576,(*),,53061333717576.0,,,53061333717576.0,
Chứng khoán kinh doanh,Tài sản tài chính > Chứng khoán kinh doanh,Chứng khoán kinh doanh,50.765.500.000,-,-,-,50.765.500.000,50.765.500.000,50765500000.0,,,,50765500000.0,50765500000.0
Các công cụ tài chính phải sinh và tài sản tài chính khác,Tài sản tài chính > Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,88.476.577.033,-,-,-,88.476.577.033,(*),88476577033.0,,,,88476577033.0,
Cho vay khách hàng – gộp,Tài sản tài chính > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,198.764.945.826.810,-,-,198.764.945.826.810,(*),,198764945826810.0,,,198764945826810.0,
Hoạt động mua nợ – gộp,Tài sản tài chính > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,4.236.968.484.204,-,-,4.236.968.484.204,(*),,4236968484204.0,,,4236968484204.0,
Chứng khoán sẵn sàng để bán – gộp,Tài sản tài chính > Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,-,-,57.068.503.060.644,1.313.209.000.824,58.381.712.061.468,(*),,,57068503060644.0,1313209000824.0,58381712061468.0,
Tài sản tài chính khác – gộp,Tài sản tài chính > Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,-,3.712.906.743.936,-,-,3.712.906.743.936,(*),,3712906743936.0,,,3712906743936.0,
,,,139.242.077.033,263.819.748.416.750,57.068.503.060.644,1.313.209.000.824,322.340.702.555.251,,139242077033.0,263819748416750.0,57068503060644.0,1313209000824.0,322340702555251.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả tài chính > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,-,7.902.618.040.898,7.902.618.040.898,(*),,,,7902618040898.0,7902618040898.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,54.809.627.751.675,54.809.627.751.675,(*),,,,54809627751675.0,54809627751675.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,150.555.669.981.312,150.555.669.981.312,(*),,,,150555669981312.0,150555669981312.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,6.258.279.454.840,6.258.279.454.840,(*),,,,6258279454840.0,6258279454840.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,64.670.500.000.000,64.670.500.000.000,(*),,,,64670500000000.0,64670500000000.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,4.391.512.001.521,4.391.512.001.521,(*),,,,4391512001521.0,4391512001521.0,
,,,-,-,-,288.588.207.230.246,288.588.207.230.246,,,,,288588207230246.0,288588207230246.0,
