row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025,Quyền sử dụngđấtVND,Phần mềm máyvi tínhVND,Tổng cộngVND,numeric__Quyền sử dụngđấtVND,numeric__Phần mềm máyvi tínhVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,139.550.154.948,496.394.790.187,635.944.945.135,139550154948.0,496394790187.0,635944945135.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,1.000.000.000,28.406.502.078,29.406.502.078,1000000000.0,28406502078.0,29406502078.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,96.520.000.000,15.422.801.497,111.942.801.497,96520000000.0,15422801497.0,111942801497.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,18.043.159.912,-,18.043.159.912,18043159912.0,,18043159912.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(2.765.051.000),-,(2.765.051.000),-2765051000.0,,-2765051000.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,252.348.263.860,540.224.093.762,792.572.357.622,252348263860.0,540224093762.0,792572357622.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,2.915.476.323,344.543.350.529,347.458.826.852,2915476323.0,344543350529.0,347458826852.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,163.754.844,49.571.799.520,49.735.554.364,163754844.0,49571799520.0,49735554364.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,-,83.967.686,83.967.686,,83967686.0,83967686.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,3.079.231.167,394.199.117.735,397.278.348.902,3079231167.0,394199117735.0,397278348902.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,136.634.678.625,151.851.439.658,288.486.118.283,136634678625.0,151851439658.0,288486118283.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,249.269.032.693,146.024.976.027,395.294.008.720,249269032693.0,146024976027.0,395294008720.0
