row_label_raw,row_label_full,04,"Cổ tức trả cho cổ đông, lợi nhuận đã chia",(1.714.049.093.996),(28.225.069),"numeric__Cổ tức trả cho cổ đông, lợi nhuận đã chia",numeric__(1.714.049.093.996),numeric__(28.225.069)
III,III,III,LUÙ CHUYÊN TIỀN THUÀN TÙ HOẠT ĐỘNG TÀI CHÍNH,(1.714.049.093.996),(28.225.069),,-1714049093996.0,-28225069.0
IV,IV,IV,LUÙ CHUYÊN TIỀN THUÀN TRONG NĂM,14.907.402.820.106,2.038.783.993.762,,14907402820106.0,2038783993762.0
V,V,V,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN ĐẦU NĂM,42.087.797.541.694,40.049.013.547.932,,42087797541694.0,40049013547932.0
VII,VII,VII,TIỀN VÀ CÁC KHOẢN TƯƠNG ĐƯƠNG TIỀN CUỐI NĂM (THUYẾT MINH 34),56.995.200.361.800,42.087.797.541.694,,56995200361800.0,42087797541694.0
