row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2024,Quá hạn VND,Không nhạy cảm với lãi suất VND,Dưới 1 tháng VND,Từ 1 đến 3 tháng VND,Từ trên 3 đến 6 tháng VND,Từ trên 6 đến 12 tháng VND,Từ trên 1 đến 5 năm VND,Trên 5 năm VND,Tổng VND,numeric__Quá hạn VND,numeric__Không nhạy cảm với lãi suất VND,numeric__Dưới 1 tháng VND,numeric__Từ 1 đến 3 tháng VND,numeric__Từ trên 3 đến 6 tháng VND,numeric__Từ trên 6 đến 12 tháng VND,numeric__Từ trên 1 đến 5 năm VND,numeric__Trên 5 năm VND,numeric__Tổng VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
Tiền mặt và vàng,Tài sản > Tiền mặt và vàng,Tiền mặt và vàng,-,787.773.771.826,-,-,-,-,-,-,787.773.771.826,,787773771826.0,,,,,,,787773771826.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,2.377.473.012.237,-,-,-,-,-,-,2.377.473.012.237,,2377473012237.0,,,,,,,2377473012237.0
"Tiền, vàng gửi và cho vay các TCTD khác","Tài sản > Tiền, vàng gửi và cho vay các TCTD khác","Tiền, vàng gửi và cho vay các TCTD khác",-,724.808.757.631,35.765.818.500.000,2.525.845.000.000,-,-,109.727.000.000,-,39.126.199.257.631,,724808757631.0,35765818500000.0,2525845000000.0,,,109727000000.0,,39126199257631.0
Cho vay khách hàng và mua nợ – gộp,Tài sản > Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,6.771.271.792.153,-,26.552.738.674.749,61.321.523.311.298,54.224.110.340.273,18.404.423.521.320,8.649.624.323.238,-,175.923.691.963.031,6771271792153.0,,26552738674749.0,61321523311298.0,54224110340273.0,18404423521320.0,8649624323238.0,,175923691963031.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,1.500.353.927.457,-,1.022.666.600.000,9.704.000.000.000,23.572.590.000.000,2.026.000.000.000,14.810.000.000.000,52.635.610.527.457,,1500353927457.0,,1022666600000.0,9704000000000.0,23572590000000.0,2026000000000.0,14810000000000.0,52635610527457.0
"Góp vốn, đầu tư dài hạn","Tài sản > Góp vốn, đầu tư dài hạn","Góp vốn, đầu tư dài hạn",-,25.000.000.000,-,-,-,-,-,-,25.000.000.000,,25000000000.0,,,,,,,25000000000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,629.786.003.479,-,-,-,-,-,-,629.786.003.479,,629786003479.0,,,,,,,629786003479.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,4.800.000.000,7.639.204.971.652,-,-,-,-,-,-,7.644.004.971.652,4800000000.0,7639204971652.0,,,,,,,7644004971652.0
Tổng tài sản (1),Tài sản > Tổng tài sản (1),Tổng tài sản (1),6.776.071.792.153,13.684.400.444.282,62.318.557.174.749,64.870.034.911.298,63.928.110.340.273,41.977.013.521.320,10.785.351.323.238,14.810.000.000.000,279.149.539.507.313,6776071792153.0,13684400444282.0,62318557174749.0,64870034911298.0,63928110340273.0,41977013521320.0,10785351323238.0,14810000000000.0,279149539507313.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và NHNNVN,Nợ phải trả > Các khoản nợ Chính phủ và NHNNVN,Các khoản nợ Chính phủ và NHNNVN,-,-,3.393.187.130.601,-,-,76.348.421.538,-,-,3.469.535.552.139,,,3393187130601.0,,,76348421538.0,,,3469535552139.0
Tiền gửi và vay các TCTD khác,Nợ phải trả > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,7.090.294.422,41.815.766.322.786,2.987.935.273.199,90.103.795.411,12.239.799.000,95.145.720.680,-,45.008.281.205.498,,7090294422.0,41815766322786.0,2987935273199.0,90103795411.0,12239799000.0,95145720680.0,,45008281205498.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,54.132.515.701.224,33.382.345.695.360,37.642.440.144.617,12.339.939.654.592,4.985.103.248.390,474.157.712,142.482.818.601.895,,,54132515701224.0,33382345695360.0,37642440144617.0,12339939654592.0,4985103248390.0,474157712.0,142482818601895.0
Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả > Công cụ tài chính phải sinh và các khoản nợ tài chính khác,Công cụ tài chính phải sinh và các khoản nợ tài chính khác,-,356.262.657.844,-,-,-,-,-,-,356.262.657.844,,356262657844.0,,,,,,,356262657844.0
"Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả > Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, uỷ thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,5.954.805.000,1.537.625.260,44.315.255.500,5.890.275.823.635,-,5.942.083.509.395,,,,5954805000.0,1537625260.0,44315255500.0,5890275823635.0,,5942083509395.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,204.400.000.000,59.200.000.000,7.688.412.500.000,5.538.400.000.000,30.520.300.000.000,-,44.010.712.500.000,,,204400000000.0,59200000000.0,7688412500000.0,5538400000000.0,30520300000000.0,,44010712500000.0
Các khoản nợ khác - gộp,Nợ phải trả > Các khoản nợ khác - gộp,Các khoản nợ khác - gộp,-,3.569.179.088.796,-,-,-,-,-,-,3.569.179.088.796,,3569179088796.0,,,,,,,3569179088796.0
Tổng nợ phải trả (2),Nợ phải trả > Tổng nợ phải trả (2),Tổng nợ phải trả (2),-,3.932.532.041.062,99.545.869.154.611,36.435.435.773.559,45.422.494.065.288,18.011.243.130.630,41.490.824.792.705,474.157.712,244.838.873.115.567,,3932532041062.0,99545869154611.0,36435435773559.0,45422494065288.0,18011243130630.0,41490824792705.0,474157712.0,244838873115567.0
Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],Mức chênh nhạy cảm với lãi suất nội bảng [(3)=(1)-(2)],6.776.071.792.153,9.751.868.403.220,(37.227.311.979.862),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.705.473.469.467),14.809.525.842.288,34.310.666.391.746,6776071792153.0,9751868403220.0,-37227311979862.0,28434599137739.0,18505616274985.0,23965770390690.0,-30705473469467.0,14809525842288.0,34310666391746.0
Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),Nợ phải trả > Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),Các cam kết ngoại bảng có tác động tới lãi suất của các tài sản và công nợ (ròng),-,-,-,-,-,-,(46.925.000.000),-,(46.925.000.000),,,,,,,-46925000000.0,,-46925000000.0
Mức chênh nhạy cảm với lãi suất,Nợ phải trả > Mức chênh nhạy cảm với lãi suất,Mức chênh nhạy cảm với lãi suất,6.776.071.792.153,9.751.868.403.220,(37.227.311.979.862),28.434.599.137.739,18.505.616.274.985,23.965.770.390.690,(30.752.398.469.467),14.809.525.842.288,34.263.741.391.746,6776071792153.0,9751868403220.0,-37227311979862.0,28434599137739.0,18505616274985.0,23965770390690.0,-30752398469467.0,14809525842288.0,34263741391746.0
