row_label_raw,row_label_full,col_0,Charter capital VND,Share premium VND,Reserves VND,Retained earnings VND,Total VND,numeric__Charter capital VND,numeric__Share premium VND,numeric__Reserves VND,numeric__Retained earnings VND,numeric__Total VND
Balance at 1 January 2025,Balance at 1 January 2025,Balance at 1 January 2025,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,087,523,229","31,670,877,161,743",,,,,
Capital increase by bonus shares,Capital increase by bonus shares,Capital increase by bonus shares,"1,972,631,320,000","(53,271,987,348)","(662,488,211,467)","(1,256,871,121,185)",-,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"4,008,866,548,868","4,008,866,548,868",,,,,
Dividends,Dividends,Dividends,-,-,-,"(1,726,052,406,400)","(1,726,052,406,400)",,,,,
Appropriation to reserves,Appropriation to reserves,Appropriation to reserves,-,-,"761,684,644,285","(761,684,644,285)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(30,394,784,266)","(30,394,784,266)",,,,,
Balance at 31 December 2025,Balance at 31 December 2025,Balance at 31 December 2025,"26,630,522,840,000",-,"3,322,822,563,984","3,969,951,115,961","33,923,296,519,945",,,,,
Balance at 1 January 2024,Balance at 1 January 2024,Balance at 1 January 2024,"20,548,242,940,000","53,271,987,348","2,588,756,524,494","5,344,327,649,817","28,534,599,101,659",,,,,
Capital increase by bonus shares,Capital increase by bonus shares,Capital increase by bonus shares,"4,109,648,580,000",-,-,"(4,109,648,580,000)",-,,,,,
Net profit for the year,Net profit for the year,Net profit for the year,-,-,-,"3,174,348,033,358","3,174,348,033,358",,,,,
Appropriation to reserves,Appropriation to reserves,Appropriation to reserves,-,-,"634,869,606,672","(634,869,606,672)",-,,,,,
Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,Appropriation to bonus and welfare fund,-,-,-,"(38,069,973,274)","(38,069,973,274)",,,,,
Balance at 31 December 2024,Balance at 31 December 2024,Balance at 31 December 2024,"24,657,891,520,000","53,271,987,348","3,223,626,131,166","3,736,087,523,229","31,670,877,161,743",,,,,
