row_label_raw,row_label_full,col_0,Giá trị theohợp đồng – gộpVND,31/12/2025Tiền gửi ký quỹVND,Giá trị theohợp đồng – thuầnVND,numeric__Giá trị theohợp đồng – gộpVND,numeric__31/12/2025Tiền gửi ký quỹVND,numeric__Giá trị theohợp đồng – thuầnVND
Bảo lãnh vay vốn,Bảo lãnh vay vốn,Bảo lãnh vay vốn,282.345.000.000,505.181.575,281.839.818.425,282345000000.0,505181575.0,281839818425.0
Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,182.797.611.540.637,-,182.797.611.540.637,182797611540637.0,,182797611540637.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
▪ Cam kết mua ngoại tệ,Trong đó: > ▪ Cam kết mua ngoại tệ,▪ Cam kết mua ngoại tệ,2.893.757.692.890,-,2.893.757.692.890,2893757692890.0,,2893757692890.0
▪ Cam kết bán ngoại tệ,Trong đó: > ▪ Cam kết bán ngoại tệ,▪ Cam kết bán ngoại tệ,2.895.639.800.000,-,2.895.639.800.000,2895639800000.0,,2895639800000.0
▪ Cam kết giao dịch hoán đổi,Trong đó: > ▪ Cam kết giao dịch hoán đổi,▪ Cam kết giao dịch hoán đổi,177.008.214.047.747,-,177.008.214.047.747,177008214047747.0,,177008214047747.0
Cam kết trong nghiệp vụ L/C,Trong đó: > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,606.583.349.521,5.074.347.451,601.509.002.070,606583349521.0,5074347451.0,601509002070.0
Bảo lãnh khác,Trong đó: > Bảo lãnh khác,Bảo lãnh khác,13.133.377.144.568,322.722.513.461,12.810.654.631.107,13133377144568.0,322722513461.0,12810654631107.0
Cam kết khác,Trong đó: > Cam kết khác,Cam kết khác,4.672.128.793.102,-,4.672.128.793.102,4672128793102.0,,4672128793102.0
,,,Giá trị theohợp đồng – gộpVND,31/12/2024Tiền gửi ký quỹVND,Giá trị theohợp đồng – thuầnVND,,,
Bảo lãnh vay vốn,Trong đó: > Bảo lãnh vay vốn,Bảo lãnh vay vốn,97.792.000.000,8.546.731.158,89.245.268.842,97792000000.0,8546731158.0,89245268842.0
Cam kết giao dịch hối đoái,Trong đó: > Cam kết giao dịch hối đoái,Cam kết giao dịch hối đoái,138.719.544.097.903,-,138.719.544.097.903,138719544097903.0,,138719544097903.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
▪ Cam kết mua ngoại tệ,Trong đó: > ▪ Cam kết mua ngoại tệ,▪ Cam kết mua ngoại tệ,662.365.672.412,-,662.365.672.412,662365672412.0,,662365672412.0
▪ Cam kết bán ngoại tệ,Trong đó: > ▪ Cam kết bán ngoại tệ,▪ Cam kết bán ngoại tệ,663.446.975.491,-,663.446.975.491,663446975491.0,,663446975491.0
▪ Cam kết giao dịch hoán đổi,Trong đó: > ▪ Cam kết giao dịch hoán đổi,▪ Cam kết giao dịch hoán đổi,137.393.731.450.000,-,137.393.731.450.000,137393731450000.0,,137393731450000.0
Cam kết trong nghiệp vụ L/C,Trong đó: > Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,674.721.445.313,5.387.221.401,669.334.223.912,674721445313.0,5387221401.0,669334223912.0
Bảo lãnh khác,Trong đó: > Bảo lãnh khác,Bảo lãnh khác,6.543.873.719.523,382.710.699.264,6.161.163.020.259,6543873719523.0,382710699264.0,6161163020259.0
Cam kết khác,Trong đó: > Cam kết khác,Cam kết khác,2.498.925.000.000,-,2.498.925.000.000,2498925000000.0,,2498925000000.0
