row_label_raw,row_label_full,col_0,2024(restated)VND,2024(as previous reported)VND,numeric__2024(restated)VND,numeric__2024(as previous reported)VND
NET CASH FLOWS FROM OPERATING ACTIVITIES,NET CASH FLOWS FROM OPERATING ACTIVITIES,NET CASH FLOWS FROM OPERATING ACTIVITIES,NET CASH FLOWS FROM OPERATING ACTIVITIES,NET CASH FLOWS FROM OPERATING ACTIVITIES,,
Other income,Other income,Other income,"196,007,091,051","169,307,998,744",,
Decrease in other operating assets,Decrease in other operating assets,Decrease in other operating assets,"460,207,767,667","818,611,610,576",,
Decrease in other operating liabilities,Decrease in other operating liabilities,Decrease in other operating liabilities,"(2,149,501,435,329)","(2,507,905,278,238)",,
CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,CASH FLOWS FROM INVESTING ACTIVITIES,,
Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,Proceeds from disposals of fixed assets,"33,994,594,858","60,693,687,165",,
