row_label_raw,row_label_full,Balance at the end of the year,Receivables/(payables),Receivables/(payables)_1,numeric__Receivables/(payables),numeric__Receivables/(payables)_1
Balance at the end of the year,Balance at the end of the year,Balance at the end of the year,31/12/2025VND,31/12/2024VND,,
Subsidiaries,Subsidiaries,Subsidiaries,,,,
Deposits,Deposits,Deposits,"(526,025,598,185)","(23,034,051,608)",,
Invested capital,Invested capital,Invested capital,"525,000,000,000","25,000,000,000",,
Interest payables,Interest payables,Interest payables,"(1,620,604,109)","(1,150,504,110)",,
"Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant",,,,
Deposits,"Board of Directors, Board of Supervision, Board of Management and Chief Accountant > Deposits",Deposits,"(39,424,717,400)",(45.548.960.977),,-45548960977.0
Interest payable,Interest payable,Interest payable,"(297,348,712)","(435,400,246)",,
Loans,Loans,Loans,"1,253,700,668","821,462,739",,
Interest receivables,Loans > Interest receivables,Interest receivables,"4,620,413","208,164",,208.164
Other related parties,Other related parties,Other related parties,,,,
Deposits,Other related parties > Deposits,Deposits,"(134,131,075,126)",(161.595.885.367),,-161595885367.0
Interest payable,Interest payable,Interest payable,"(1,617,277,778)","(1,247,712,382)",,
Loans,Loans,Loans,"478,664,936,069","88,602,923,947",,
Interest receivables,Interest receivables,Interest receivables,"705,926,611","93,911,469",,
Transactions during the year,Transactions during the year,Transactions during the year,Income/(expense),Income/(expense),,
Transactions during the year,Transactions during the year,Transactions during the year,2025VND,2024VND,,
Subsidiaries,Subsidiaries,Subsidiaries,,,,
Withdrawal of deposits,Withdrawal of deposits,Withdrawal of deposits,"(739,516,306,677)","(53,047,486,774)",,
Receipt of deposits,Receipt of deposits,Receipt of deposits,"1,242,507,853,254","53,547,501,567",,
Fee and commission income,Receipt of deposits > Fee and commission income,Fee and commission income,"130,000","260,000",130.0,260.0
Interest expense on deposits,Interest expense on deposits,Interest expense on deposits,"(3,027,361,984)","(1,202,287,650)",,
Dividend received,Interest expense on deposits > Dividend received,Dividend received,145.737.114,1.072.015.796,145737114.0,1072015796.0
"Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant","Board of Directors, Board of Supervision, Board of Management and Chief Accountant",,,,
Remuneration and other income (i),Remuneration and other income (i),Remuneration and other income (i),"59,140,326,285","71,386,920,540",,
Interest income from loans,Interest income from loans,Interest income from loans,"160,639,063","98,826,956",,
Interest expense on deposits,Interest income from loans > Interest expense on deposits,Interest expense on deposits,(1.355.678.995),(1.885.378.037),-1355678995.0,-1885378037.0
Other related parties,Other related parties,Other related parties,,,,
Other income,Other income,Other income,"22,295,640,447","6,960,953,412",,
Interest expense on deposits,Interest expense on deposits,Interest expense on deposits,"(6,763,361,058)","(8,811,953,032)",,
