row_label_raw,row_label_full,col_0,2024(dã điều chỉnh lại)VND,2024(theo báo cáotrước đây)VND,numeric__2024(dã điều chỉnh lại)VND,numeric__2024(theo báo cáotrước đây)VND
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,520.751.863.305,1.021.970.746.505,520751863305.0,1021970746505.0
Chi phí hoạt động khác,Chi phí hoạt động khác,Chi phí hoạt động khác,(114.101.318.222),(615.320.201.422),-114101318222.0,-615320201422.0
