row_label_raw,row_label_full,Năm kết thúcngày 31 tháng 12 năm 2025 > Thuế giá trị gia tăng,Số dư đầu năm > Số phải trảVND > 42.237.381.703,Số dư đầu năm > Số phải thuVND > 37.519.473.103,Phát sinh trong năm > Số phải nộpVND > 119.311.141.499,Phát sinh trong năm > Số đã nộpVND > (80.859.297.792),Số dư cuối năm > Số phải trảVND > 57.301.882.662,Số dư cuối năm > Số phải thuVND > 14.132.130.355,numeric__Số dư đầu năm > Số phải trảVND > 42.237.381.703,numeric__Số dư đầu năm > Số phải thuVND > 37.519.473.103,numeric__Phát sinh trong năm > Số phải nộpVND > 119.311.141.499,numeric__Phát sinh trong năm > Số đã nộpVND > (80.859.297.792),numeric__Số dư cuối năm > Số phải trảVND > 57.301.882.662,numeric__Số dư cuối năm > Số phải thuVND > 14.132.130.355
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,302.807.704.094,4.708.169.662,1.021.167.314.180,(700.499.000.773),618.767.847.839,-,302807704094.0,4708169662.0,1021167314180.0,-700499000773.0,618767847839.0,
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,12.028.527.912,-,210.366.249.400,(209.492.874.654),12.901.902.658,-,12028527912.0,,210366249400.0,-209492874654.0,12901902658.0,
Thuế nhà thầu,Thuế nhà thầu,Thuế nhà thầu,1.223.395.104,-,15.598.968.806,(14.849.961.293),1.972.402.617,-,1223395104.0,,15598968806.0,-14849961293.0,1972402617.0,
Thuế nhà đất,Thuế nhà đất,Thuế nhà đất,-,-,489.731.807,(489.731.807),-,-,,,489731807.0,-489731807.0,,
Thuế khác,Thuế khác,Thuế khác,-,-,176.000.000,(176.000.000),-,-,,,176000000.0,-176000000.0,,
,,,358.297.008.813,42.227.642.765,1.367.109.405.692,(1.006.366.866.319),690.944.035.776,14.132.130.355,358297008813.0,42227642765.0,1367109405692.0,-1006366866319.0,690944035776.0,14132130355.0
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Số dư đầu năm,Số dư đầu năm,Phát sinh trong năm,Phát sinh trong năm,Số dư cuối năm,Số dư cuối năm,,,,,,
Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Năm kết thúcngày 31 tháng 12 năm 2024,Số phải trảVND,Số phải thuVND,Số phải nộpVND,Số đã nộpVND,Số phải trảVND,Số phải thuVND,,,,,,
Thuế giá trị gia tăng,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế giá trị gia tăng,Thuế giá trị gia tăng,68.546.123.446,-,92.321.316.594,(156.149.531.440),42.237.381.703,37.519.473.103,68546123446.0,,92321316594.0,-156149531440.0,42237381703.0,37519473103.0
Thuế thu nhập doanh nghiệp,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,318.076.067.522,-,832.835.910.112,(852.812.443.202),302.807.704.094,4.708.169.662,318076067522.0,,832835910112.0,-852812443202.0,302807704094.0,4708169662.0
Thuế thu nhập cá nhân,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.859.315.404,-,161.742.195.591,(159.572.983.083),12.028.527.912,-,9859315404.0,,161742195591.0,-159572983083.0,12028527912.0,
Thuế nhà thầu,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế nhà thầu,Thuế nhà thầu,1.026.320.497,-,13.522.706.070,(13.325.631.463),1.223.395.104,-,1026320497.0,,13522706070.0,-13325631463.0,1223395104.0,
Thuế nhà đất,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế nhà đất,Thuế nhà đất,-,-,732.287.023,(732.287.023),-,-,,,732287023.0,-732287023.0,,
Thuế khác,Năm kết thúcngày 31 tháng 12 năm 2024 > Thuế khác,Thuế khác,-,-,171.000.000,(171.000.000),-,-,,,171000000.0,-171000000.0,,
,,,397.507.826.869,-,1.101.325.415.390,(1.182.763.876.211),358.297.008.813,42.227.642.765,397507826869.0,,1101325415390.0,-1182763876211.0,358297008813.0,42227642765.0
