row_label_raw,row_label_full,As at 31 December 2024,Carrying amount > Fair value through profit or loss VND,Carrying amount > Loans and receivables VND,Carrying amount > Available-for-sale VND,Carrying amount > Amortised cost VND,Carrying amount > Carrying amount VND,Carrying amount > Fair value VND,numeric__Carrying amount > Fair value through profit or loss VND,numeric__Carrying amount > Loans and receivables VND,numeric__Carrying amount > Available-for-sale VND,numeric__Carrying amount > Amortised cost VND,numeric__Carrying amount > Carrying amount VND,numeric__Carrying amount > Fair value VND
Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,Financial assets,,,,,,
Cash on hand and gold,Cash on hand and gold,Cash on hand and gold,-,"787,773,771,826",-,-,"787,773,771,826","787,773,771,826",,,,,,
Balances with the SBV,Balances with the SBV,Balances with the SBV,-,"2,377,473,012,237",-,-,"2,377,473,012,237","2,377,473,012,237",,,,,,
Deposits with and loans to other CIs,Deposits with and loans to other CIs,Deposits with and loans to other CIs,-,"39,126,199,257,631",-,-,"39,126,199,257,631",(*),,,,,,
Loans and advances to customers – gross,Loans and advances to customers – gross,Loans and advances to customers – gross,-,"170,844,469,638,663",-,-,"170,844,469,638,663",(*),,,,,,
Purchased debts – gross,Purchased debts – gross,Purchased debts – gross,-,"5,079,222,324,368",-,-,"5,079,222,324,368",(*),,,,,,
Available-for-sale securities – gross,Available-for-sale securities – gross,Available-for-sale securities – gross,-,-,"52,635,610,527,457",-,"52,635,610,527,457",(*),,,,,,
Other financial assets – gross,Other financial assets – gross,Other financial assets – gross,-,"3,328,328,011,723",-,-,"3,328,328,011,723",(*),,,,,,
,,,-,"221,543,466,016,448","52,635,610,527,457",-,"274,179,076,543,905",,,,,,,
Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,Financial liabilities,,,,,,
Due to the Government and the SBV,Due to the Government and the SBV,Due to the Government and the SBV,-,-,-,"3,469,535,552,139","3,469,535,552,139",(*),,,,,,
Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,Deposits and borrowings from other CIs,-,-,-,"45,008,281,205,498","45,008,281,205,498",(*),,,,,,
Deposits from customers,Deposits from customers,Deposits from customers,-,-,-,"142,482,818,601,895","142,482,818,601,895",(*),,,,,,
"Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks","Grants, entrusted funds and loans exposed to risks",-,-,-,"5,942,083,509,395","5,942,083,509,395",(*),,,,,,
Valuable papers issued,Valuable papers issued,Valuable papers issued,-,-,-,"44,010,712,500,000","44,010,712,500,000",(*),,,,,,
Derivatives and other financial liabilities,Derivatives and other financial liabilities,Derivatives and other financial liabilities,"356,262,657,844",-,-,-,"356,262,657,844",(*),,,,,,
Other financial liabilities,Other financial liabilities,Other financial liabilities,-,-,-,"2,983,752,605,558","2,983,752,605,558",(*),,,,,,
,,,"356,262,657,844",-,-,"243,897,183,974,485","244,253,446,632,329",,,,,,,
