row_label_raw,row_label_full,1,Bảo lãnh vay vốn,37,281.839.818.425,89.245.268.842,numeric__Bảo lãnh vay vốn,numeric__37,numeric__281.839.818.425,numeric__89.245.268.842
2,2,2,Cam kết giao dịch hồi đoái Trong đó:,37,182.797.611.540.637,138.719.544.097.903,,37.0,182797611540637.0,138719544097903.0
,,,■ Cam kết mua ngoại tệ,,2.893.757.692.890,662.365.672.412,,,2893757692890.0,662365672412.0
,,,■ Cam kết bán ngoại tệ,,2.895.639.800.000,663.446.975.491,,,2895639800000.0,663446975491.0
,,,■ Cam kết giao dịch hoán đổi tiền tệ,,177.008.214.047.747,137.393.731.450.000,,,177008214047747.0,137393731450000.0
4,4,4,Cam kết trong nghiệp vụ thư tín dụng,37,601.509.002.070,669.334.223.912,,37.0,601509002070.0,669334223912.0
5,5,5,Bảo lãnh khác,37,12.810.654.631.107,6.161.163.020.259,,37.0,12810654631107.0,6161163020259.0
6,6,6,Cam kết khác,37,4.672.128.793.102,2.498.925.000.000,,37.0,4672128793102.0,2498925000000.0
7,7,7,Lãi cho vay và phí phải thu chưa thu được,38,2.241.743.467.942,1.854.843.084.325,,38.0,2241743467942.0,1854843084325.0
8,8,8,Nợ khó đòi đã xử lý,39,16.960.469.937.084,14.880.784.832.530,,39.0,16960469937084.0,14880784832530.0
9,9,9,Tài sản và chứng từ khác,40,87.732.304.489.273,68.135.411.858.929,,40.0,87732304489273.0,68135411858929.0
