row_label_raw,row_label_full,col_0,31/12/2025% per annum,31/12/2024% per annum,numeric__31/12/2025% per annum,numeric__31/12/2024% per annum
"Borrowings through discount, rediscount valuable papers","Borrowings through discount, rediscount valuable papers","Borrowings through discount, rediscount valuable papers",4.50,3.90,450.0,390.0
Borrowings by credit documents,Borrowings by credit documents,Borrowings by credit documents,3.20,3.30,320.0,330.0
Repurchase agreements of Government bonds with the State Treasury,Repurchase agreements of Government bonds with the State Treasury,Repurchase agreements of Government bonds with the State Treasury,4.50,Not applicable,450.0,
