row_label_raw,row_label_full,col_0,The South VND,The North VND,The Central VND,Eliminations VND,Total VND,numeric__The South VND,numeric__The North VND,numeric__The Central VND,numeric__Eliminations VND,numeric__Total VND
Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,Year ended 31 December 2025,,,,,
I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,I. Income,,,,,
1. Interest income,1. Interest income,1. Interest income,"47,224,814,146,761","5,370,381,469,048","3,220,402,636,382","(34,697,252,390,057)","21,118,345,862,134",,,,,
Interest income from external,Interest income from external,Interest income from external,"15,359,222,236,684","3,636,458,734,297","2,122,664,891,153",-,"21,118,345,862,134",,,,,
Interest income from internal,Interest income from internal,Interest income from internal,"31,865,591,910,077","1,733,922,734,751","1,097,737,745,229","(34,697,252,390,057)",-,,,,,
2. Fee and commission revenue,2. Fee and commission revenue,2. Fee and commission revenue,"1,117,130,834,702","76,982,525,562","41,601,296,370",-,"1,235,714,656,634",,,,,
3. Other income,3. Other income,3. Other income,"2,019,842,091,326","1,024,990,159,626","512,346,441,149","(1,076,122,421,617)","2,481,056,270,484",,,,,
TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,TOTAL OPERATING INCOME,"50,361,787,072,789","6,472,354,154,236","3,774,350,373,901","(35,773,374,811,674)","24,835,116,789,252",,,,,
II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,II. Expense,,,,,
1. Interest expense,1. Interest expense,1. Interest expense,"(40,068,384,803,234)","(4,109,507,352,537)","(2,391,887,068,769)","34,697,252,390,057","(11,872,526,834,483)",,,,,
Interest expense from external,Interest expense from external,Interest expense from external,"(9,715,187,878,354)","(1,306,256,774,794)","(851,082,181,335)",-,"(11,872,526,834,483)",,,,,
Interest expense from internal,Interest expense from internal,Interest expense from internal,"(30,353,196,924,880)","(2,803,250,577,743)","(1,540,804,887,434)","34,697,252,390,057",-,,,,,
2. Depreciation and amortization expenses,2. Depreciation and amortization expenses,2. Depreciation and amortization expenses,"(148,803,201,820)","(11,788,013,273)","(11,817,457,243)",-,"(172,408,672,336)",,,,,
3. Operating expenses,3. Operating expenses,3. Operating expenses,"(5,421,567,987,987)","(600,076,305,750)","(459,031,864,446)","1,076,122,421,617","(5,404,553,736,566)",,,,,
TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,TOTAL OPERATING EXPENSES,"(45,638,755,993,041)","(4,721,371,671,560)","(2,862,736,390,458)","35,773,374,811,674","(17,449,489,243,385)",,,,,
Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,Profit before allowance expenses for credit losses,"4,723,031,079,748","1,750,982,482,676","911,613,983,443",-,"7,385,627,545,867",,,,,
Allowance expenses for credit losses,Allowance expenses for credit losses,Allowance expenses for credit losses,"(2,151,823,387,356)","(75,059,855,953)","(137,865,213,497)",-,"(2,364,748,456,806)",,,,,
Segment profit,Segment profit,Segment profit,"2,571,207,692,392","1,675,922,626,723","773,748,769,946",-,"5,020,879,089,061",,,,,
