row_label_raw,row_label_full,As at 31 December2025,Not past dueVND,Past due but notimpairedVND,Past due andimpairedVND,TotalVND,numeric__Not past dueVND,numeric__Past due but notimpairedVND,numeric__Past due andimpairedVND,numeric__TotalVND
Deposits and loans toother CIs,Deposits and loans toother CIs,Deposits and loans toother CIs,"53,061,333,717,576",-,-,"53,061,333,717,576",,,,
Deposits at other CIs,Deposits at other CIs,Deposits at other CIs,"52,951,606,717,576",-,-,"52,951,606,717,576",,,,
Loans to other CIs,Loans to other CIs,Loans to other CIs,"109,727,000,000",-,-,"109,727,000,000",,,,
Loans to customers andpurchased debts - gross,Loans to customers andpurchased debts - gross,Loans to customers andpurchased debts - gross,"192,779,891,935,468","1,549,259,324,169","8,672,763,051,377","203,001,914,311,014",,,,
Held-for-tradingsecurities,Held-for-tradingsecurities,Held-for-tradingsecurities,"50,765,500,000",-,-,"50,765,500,000",,,,
Available-for-salesecurities - gross,Available-for-salesecurities - gross,Available-for-salesecurities - gross,"57,004,257,059,977",-,-,"57,004,257,059,977",,,,
Other assets - gross,Other assets - gross,Other assets - gross,"3,689,297,302,393",-,"23,609,441,543","3,712,906,743,936",,,,
,,,"306,585,545,515,414","1,549,259,324,169","8,696,372,492,920","316,831,177,332,503",,,,
As at 31 December2024,As at 31 December2024,As at 31 December2024,Not past dueVND,Past due but notimpairedVND,Past due andimpairedVND,TotalVND,,,,
Deposits and loans toother CIs,Deposits and loans toother CIs,Deposits and loans toother CIs,"39,126,199,257,631",-,-,"39,126,199,257,631",,,,
Deposits at other CIs,Deposits at other CIs,Deposits at other CIs,"38,922,550,757,631",-,-,"38,922,550,757,631",,,,
Loans to other CIs,Loans to other CIs,Loans to other CIs,"203,648,500,000",-,-,"203,648,500,000",,,,
Loans to customers andpurchased debts - gross,Loans to customers andpurchased debts - gross,Loans to customers andpurchased debts - gross,"164,754,201,035,482","2,715,506,141,216","8,453,984,786,333","175,923,691,963,031",,,,
Available-for-salesecurities - gross,Available-for-salesecurities - gross,Available-for-salesecurities - gross,"52,570,055,718,310",-,-,"52,570,055,718,310",,,,
Other assets - gross,Other assets - gross,Other assets - gross,"3,328,328,011,723",-,-,"3,328,328,011,723",,,,
,,,"259,778,784,023,146","2,715,506,141,216","8,453,984,786,333","270,948,274,950,695",,,,
