row_label_raw,row_label_full,col_0,Giá trị hợp lý thông qua BCKQHĐ VND,Cho vay và phải thu VND,Sẵn sàng để bán VND,Hạch toán theo giá trị phân bổ VND,Tổng cộng giá trị ghi số VND,Giá trị hợp lý VND,numeric__Giá trị hợp lý thông qua BCKQHĐ VND,numeric__Cho vay và phải thu VND,numeric__Sẵn sàng để bán VND,numeric__Hạch toán theo giá trị phân bổ VND,numeric__Tổng cộng giá trị ghi số VND,numeric__Giá trị hợp lý VND
Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,Tài sản tài chính,,,,,,
Tiền mặt và vàng,Tài sản tài chính > Tiền mặt và vàng,Tiền mặt và vàng,-,787.773.771.826,-,-,787.773.771.826,787.773.771.826,,787773771826.0,,,787773771826.0,787773771826.0
Tiền gửi tại NHNNVN,Tài sản tài chính > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,2.377.473.012.237,-,-,2.377.473.012.237,2.377.473.012.237,,2377473012237.0,,,2377473012237.0,2377473012237.0
Tiền gửi và cho vay các TCTD khác,Tài sản tài chính > Tiền gửi và cho vay các TCTD khác,Tiền gửi và cho vay các TCTD khác,-,39.126.199.257.631,-,-,39.126.199.257.631,(*),,39126199257631.0,,,39126199257631.0,
Cho vay khách hàng – gộp,Tài sản tài chính > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,-,170.844.469.638.663,-,-,170.844.469.638.663,(*),,170844469638663.0,,,170844469638663.0,
Hoạt động mua nợ – gộp,Tài sản tài chính > Hoạt động mua nợ – gộp,Hoạt động mua nợ – gộp,-,5.079.222.324.368,-,-,5.079.222.324.368,(*),,5079222324368.0,,,5079222324368.0,
Chứng khoán sẵn sàng để bán – gộp,Tài sản tài chính > Chứng khoán sẵn sàng để bán – gộp,Chứng khoán sẵn sàng để bán – gộp,-,-,52.635.610.527.457,-,52.635.610.527.457,(*),,,52635610527457.0,,52635610527457.0,
Tài sản tài chính khác – gộp,Tài sản tài chính > Tài sản tài chính khác – gộp,Tài sản tài chính khác – gộp,-,3.328.328.011.723,-,-,3.328.328.011.723,(*),,3328328011723.0,,,3328328011723.0,
,,,-,221.543.466.016.448,52.635.610.527.457,-,274.179.076.543.905,,,221543466016448.0,52635610527457.0,,274179076543905.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,
Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả tài chính > Nợ phải trả NHNNVN và Chính phủ,Nợ phải trả NHNNVN và Chính phủ,-,-,-,3.469.535.552.139,3.469.535.552.139,(*),,,,3469535552139.0,3469535552139.0,
Tiền gửi và vay các TCTD khác,Nợ phải trả tài chính > Tiền gửi và vay các TCTD khác,Tiền gửi và vay các TCTD khác,-,-,-,45.008.281.205.498,45.008.281.205.498,(*),,,,45008281205498.0,45008281205498.0,
Tiền gửi của khách hàng,Nợ phải trả tài chính > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,142.482.818.601.895,142.482.818.601.895,(*),,,,142482818601895.0,142482818601895.0,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Nợ phải trả tài chính > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",-,-,-,5.942.083.509.395,5.942.083.509.395,(*),,,,5942083509395.0,5942083509395.0,
Phát hành giấy tờ có giá,Nợ phải trả tài chính > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,44.010.712.500.000,44.010.712.500.000,(*),,,,44010712500000.0,44010712500000.0,
Các công cụ tài chính phải sinh và nợ tài chính khác,Nợ phải trả tài chính > Các công cụ tài chính phải sinh và nợ tài chính khác,Các công cụ tài chính phải sinh và nợ tài chính khác,356.262.657.844,-,-,-,356.262.657.844,(*),356262657844.0,,,,356262657844.0,
Các khoản nợ phải trả tài chính khác,Nợ phải trả tài chính > Các khoản nợ phải trả tài chính khác,Các khoản nợ phải trả tài chính khác,-,-,-,2.983.752.605.558,2.983.752.605.558,(*),,,,2983752605558.0,2983752605558.0,
,,,356.262.657.844,-,-,243.897.183.974.485,244.253.446.632.329,,356262657844.0,,,243897183974485.0,244253446632329.0,
