row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2025 VND,31/12/2024 VND (đã điều chỉnh lại),numeric__col_1,numeric__Thuyết minh,numeric__31/12/2025 VND,numeric__31/12/2024 VND (đã điều chỉnh lại)
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,,,,,,
I,B > I,I,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,16,7.902.618.040.898,3.469.535.552.139,,16.0,7902618040898.0,3469535552139.0
1,B > 1,1,Tiền gửi và vay Ngân hàng Nhà nước,,6.983.254.160.898,3.469.535.552.139,,,6983254160898.0,3469535552139.0
2,B > 2,2,Giao dịch bán và mua lại trái phiếu Chính phủ với Kho bạc Nhà nước,,919.363.880.000,-,,,919363880000.0,
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,54.809.627.751.675,45.008.281.205.498,,17.0,54809627751675.0,45008281205498.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,54.809.627.751.675,43.798.252.294.422,,,54809627751675.0,43798252294422.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,-,1.210.028.911.076,,,,1210028911076.0
III,B > III,III,Tiền gửi của khách hàng,18,150.555.669.981.312,142.482.818.601.895,,18.0,150555669981312.0,142482818601895.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,19,-,356.262.657.844,,19.0,,356262657844.0
V,B > V,V,"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",20,6.258.279.454.840,5.942.083.509.395,,20.0,6258279454840.0,5942083509395.0
VI,B > VI,VI,Phát hành giấy tờ có giá,21,64.670.500.000.000,44.010.712.500.000,,21.0,64670500000000.0,44010712500000.0
VII,B > VII,VII,Các khoản nợ khác,,5.353.571.945.843,3.570.173.600.088,,,5353571945843.0,3570173600088.0
1,B > 1,1,"Các khoản lãi, phí phải trả",22(a),3.397.595.608.983,2.656.125.820.313,,,3397595608983.0,2656125820313.0
3,B > 3,3,Các khoản phải trả và công nợ khác,22(b),1.955.976.336.860,913.053.268.483,,,1955976336860.0,913053268483.0
4,B > 4,4,Dự phòng nợ tiềm ẩn và cam kết ngoại bảng,,-,994.511.292,,,,994511292.0
