row_label_raw,row_label_full,Ngân hàng Nhà nước Việt NamTiền gửi của Ngân hàng tại NHNNVNTiền gửi và tiền vay của NHNNVNTại Ngân hàng,Mối liên quan > Đại diệnchủ sở hữu,31/12/2019Triệu VNDPhải thu/(phải trả) > 34.404.258(3.077.202),31/12/2018Triệu VND > 10.152.243(3.589.585),numeric__Mối liên quan > Đại diệnchủ sở hữu,numeric__31/12/2019Triệu VNDPhải thu/(phải trả) > 34.404.258(3.077.202),numeric__31/12/2018Triệu VND > 10.152.243(3.589.585)
Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bộ Tài chínhTiền gửi tại Ngân hàngVay Bộ Tài chính,Bên liênquan của chủsở hữu,(89.288.604)(1.003.156),(87.095.730)(1.001.583),,,
"Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngCho vay Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngCho vay Mizuho Bank Ltd., Nhật Bản","Mizuho Bank Ltd., Nhật BảnTiền gửi của Ngân hàng tại Mizuho Bank Ltd.,Nhật BảnTiền gửi của Mizuho Bank Ltd., Nhật Bản tạiNgân hàngCho vay Mizuho Bank Ltd., Nhật Bản",Cổ đôngchiến lược,5.588.921(3.913.211)100.000,1.767.477(3.667.092)-,,,
Công ty TNHH Một thành viênCho thuê Tài chính VietcombankCho vayTiền gửi của Công ty tại Ngân hàng,Công ty TNHH Một thành viênCho thuê Tài chính VietcombankCho vayTiền gửi của Công ty tại Ngân hàng,Công ty TNHH Một thành viênCho thuê Tài chính VietcombankCho vayTiền gửi của Công ty tại Ngân hàng,Công ty con,3.641.811(354.824),2.964.120(399.277),,,
Công ty TNHH Chứng khoán VietcombankTiền gửi tại Ngân hàngTrái phiếu tăng vốn do Vietcombank phát hành,Công ty TNHH Chứng khoán VietcombankTiền gửi tại Ngân hàngTrái phiếu tăng vốn do Vietcombank phát hành,Công ty TNHH Chứng khoán VietcombankTiền gửi tại Ngân hàngTrái phiếu tăng vốn do Vietcombank phát hành,Công ty con,(66.138)(169.789),(100.905)(171.115),,,
Công ty TNHH Cao óc Vietcombank 198Tiền gửi tại Ngân hàngTiền thuê văn phòng trả trước,Công ty TNHH Cao óc Vietcombank 198Tiền gửi tại Ngân hàngTiền thuê văn phòng trả trước,Công ty TNHH Cao óc Vietcombank 198Tiền gửi tại Ngân hàngTiền thuê văn phòng trả trước,Công ty con,(132.495)-,(196.936)58.794,,,
Công ty Tài chính Việt Nam tại Hồng KôngTiền gửi của Ngân hàng,Công ty TNHH Cao óc Vietcombank 198Tiền gửi tại Ngân hàngTiền thuê văn phòng trả trước > Công ty Tài chính Việt Nam tại Hồng KôngTiền gửi của Ngân hàng,Công ty Tài chính Việt Nam tại Hồng KôngTiền gửi của Ngân hàng,Công ty con,393.955,2.440.506,,393955.0,2440506.0
Công ty Chuyển tiền VietcombankTiền gửi tại Ngân hàngTạm ứng thanh toán TNMonex,Công ty Chuyển tiền VietcombankTiền gửi tại Ngân hàngTạm ứng thanh toán TNMonex,Công ty Chuyển tiền VietcombankTiền gửi tại Ngân hàngTạm ứng thanh toán TNMonex,Công ty con,(9)78.357,(10)46.794,,,
Công ty TNHH MTV Kiều hối VietcombankTiền gửi tại Ngân hàngPhải trả Ngân hàng,Công ty TNHH MTV Kiều hối VietcombankTiền gửi tại Ngân hàngPhải trả Ngân hàng,Công ty TNHH MTV Kiều hối VietcombankTiền gửi tại Ngân hàngPhải trả Ngân hàng,Công ty con,(183.722)(102.248),(49.355)-,,,
Ngân hàng TNHH Ngoại thương Việt Nam tại LàoTiền gửi tại Ngân hàng,Công ty TNHH MTV Kiều hối VietcombankTiền gửi tại Ngân hàngPhải trả Ngân hàng > Ngân hàng TNHH Ngoại thương Việt Nam tại LàoTiền gửi tại Ngân hàng,Ngân hàng TNHH Ngoại thương Việt Nam tại LàoTiền gửi tại Ngân hàng,Công ty con,(4.316),(9.101),,-4316.0,-9101.0
Công ty Liên doanh Quản lý quỹ đầu tư chứng khoán VietcombankỦy thác đầu tư trái phiếu,Công ty TNHH MTV Kiều hối VietcombankTiền gửi tại Ngân hàngPhải trả Ngân hàng > Công ty Liên doanh Quản lý quỹ đầu tư chứng khoán VietcombankỦy thác đầu tư trái phiếu,Công ty Liên doanh Quản lý quỹ đầu tư chứng khoán VietcombankỦy thác đầu tư trái phiếu,Công tyliên doanh,1.000.000,1.000.000,,1000000.0,1000000.0
