row_label_raw,row_label_full,col_0,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ của tổ chức tín dụng,Quỹ của tổ chức tín dụng_1,Quỹ của tổ chức tín dụng_2,Lợi nhuậnchuraphân phối,Tổng cộng,numeric__Vốn điều lệ,numeric__Thặng dư vốn cổ phần,numeric__Vốn khác,numeric__Quỹ của tổ chức tín dụng,numeric__Quỹ của tổ chức tín dụng_1,numeric__Quỹ của tổ chức tín dụng_2,numeric__Lợi nhuậnchuraphân phối,numeric__Tổng cộng
,,,Vốn điều lệ,Thặng dư vốn cổ phần,Vốn khác,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹdự phòngtài chínhTriệu VND,Tổng cộngTriệu VND,Triệu VND,Triệu VND,,,,,,,,
,,,Triệu VND,Triệu VND,Triệu VND,Quỹ dự trữbố sungvốn điều lệTriệu VND,Quỹdự phòngtài chínhTriệu VND,Tổng cộngTriệu VND,Triệu VND,Triệu VND,,,,,,,,
Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,Số dư tại ngày 1/1/2019,35.977.686,-,412,3.085.340,6.125.266,9.210.606,15.599.947,60.788.651,35977686.0,,412.0,3085340.0,6125266.0,9210606.0,15599947.0,60788651.0
Tăng vốn trong năm,Tăng vốn trong năm,Tăng vốn trong năm,1.111.088,4.995.400,-,-,-,-,-,6.106.488,1111088.0,4995400.0,,,,,,6106488.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,18.200.952,18.200.952,,,,,,,18200952.0,18200952.0
Tạm trích các quỹ dự trữ bắt buộc(“DTBB”) trong năm 2019,Tạm trích các quỹ dự trữ bắt buộc(“DTBB”) trong năm 2019,Tạm trích các quỹ dự trữ bắt buộc(“DTBB”) trong năm 2019,-,-,-,910.048,1.820.095,2.730.143,(2.730.143),-,,,,910048.0,1820095.0,2730143.0,-2730143.0,
"Tạm trích quỹ khen thưởng, phúc lợi(“KTPL”) trong năm 2019","Tạm trích quỹ khen thưởng, phúc lợi(“KTPL”) trong năm 2019","Tạm trích quỹ khen thưởng, phúc lợi(“KTPL”) trong năm 2019",-,-,-,-,-,-,(1.897.716),(1.897.716),,,,,,,-1897716.0,-1897716.0
Điều chỉnh trích lập các quỹ DTBB vàquỹ KTPL theo Nghị quyết của Đại hộidồng cổ đông,Điều chỉnh trích lập các quỹ DTBB vàquỹ KTPL theo Nghị quyết của Đại hộidồng cổ đông,Điều chỉnh trích lập các quỹ DTBB vàquỹ KTPL theo Nghị quyết của Đại hộidồng cổ đông,-,-,-,5,10,15,(939.661),(939.646),,,,5.0,10.0,15.0,-939661.0,-939646.0
Chia cổ tức cho cổ đông năm 2018(Thuyết minh 23),Chia cổ tức cho cổ đông năm 2018(Thuyết minh 23),Chia cổ tức cho cổ đông năm 2018(Thuyết minh 23),-,-,-,-,-,-,(2.967.102),(2.967.102),,,,,,,-2967102.0,-2967102.0
Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,Sử dụng quỹ trong năm,-,-,-,-,(15.996),(15.996),-,(15.996),,,,,-15996.0,-15996.0,,-15996.0
Biến động khác,Biến động khác,Biến động khác,-,(11),-,-,-,-,(4.559),(4.570),,-11.0,,,,,-4559.0,-4570.0
Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,Số dư tại ngày 31/12/2019,37.088.774,4.995.389,412,3.995.393,7.929.375,11.924.768,25.261.718,79.271.061,37088774.0,4995389.0,412.0,3995393.0,7929375.0,11924768.0,25261718.0,79271061.0
