row_label_raw,row_label_full,col_0,col_1,Kinh doanhTriệu VND,Giữ đến ngàyđáo hạnTriệu VND,Cho vay vàphải thuTriệu VND,Sẵn sàngđể bánTriệu VND,Hạch toántheo giá trịphân bổTriệu VND,Tổng giá trịghi sốTriệu VND,Giá trịhợp lýTriệu VND,numeric__col_1,numeric__Kinh doanhTriệu VND,numeric__Giữ đến ngàyđáo hạnTriệu VND,numeric__Cho vay vàphải thuTriệu VND,numeric__Sẵn sàngđể bánTriệu VND,numeric__Hạch toántheo giá trịphân bổTriệu VND,numeric__Tổng giá trịghi sốTriệu VND,numeric__Giá trịhợp lýTriệu VND
I,I,I,Tài sản tài chính,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,-,13.754.597,-,-,13.754.597,13.754.597,,,,13754597.0,,,13754597.0,13754597.0
II,I > II,II,Tiền gửi tại NHNNVN,-,-,34.404.258,-,-,34.404.258,34.404.258,,,,34404258.0,,,34404258.0,34404258.0
III,I > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,-,-,253.743.093,-,-,253.743.093,(*),,,,253743093.0,,,253743093.0,
IV,I > IV,IV,Chứng khoán kinh doanh,449.265,-,-,-,-,449.265,(*),,449265.0,,,,,449265.0,
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,98.312,-,-,-,-,98.312,(*),,98312.0,,,,,98312.0,
VI,I > VI,VI,Cho vay khách hàng,-,-,728.945.394,-,-,728.945.394,(*),,,,728945394.0,,,728945394.0,
VIII,I > VIII,VIII,Chứng khoán đầu tư,-,132.271.302,-,35.690.900,-,167.962.202,(*),,,132271302.0,,35690900.0,,167962202.0,
IX,I > IX,IX,"Góp vốn, đầu tư dài hạn",-,-,-,1.587.823,-,1.587.823,(*),,,,,1587823.0,,1587823.0,
XII,I > XII,XII,Tài sản tài chính khác,-,-,15.716.443,-,-,15.716.443,(*),,,,15716443.0,,,15716443.0,
,,,,547.577,132.271.302,1.046.563.785,37.278.723,-,1.216.661.387,,,547577.0,132271302.0,1046563785.0,37278723.0,,1216661387.0,
Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,Nợ phải trả tài chính,,,,,,,,,,,,,,,
I,Nợ phải trả tài chính > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,-,-,164.889.799,164.889.799,(*),,,,,,164889799.0,164889799.0,
II,Nợ phải trả tài chính > II,II,Tiền gửi của khách hàng,-,-,-,-,928.530.404,928.530.404,(*),,,,,,928530404.0,928530404.0,
IV,Nợ phải trả tài chính > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,-,-,20.431,20.431,,,,,,,20431.0,20431.0,
V,Nợ phải trả tài chính > V,V,Phát hành giấy tờ có giá,-,-,-,-,21.371.421,21.371.421,(*),,,,,,21371421.0,21371421.0,
VI,Nợ phải trả tài chính > VI,VI,Các khoản nợ phải trả tài chính khác,-,-,-,-,13.432.290,13.432.290,(*),,,,,,13432290.0,13432290.0,
,,,,-,-,-,-,1.128.244.345,1.128.244.345,,,,,,,1128244345.0,1128244345.0,
