row_label_raw,row_label_full,STT,Chỉ tiêu,Thuyết minh,31/12/2019 Triệu VND,31/12/2018 Triệu VND,numeric__Chỉ tiêu,numeric__Thuyết minh,numeric__31/12/2019 Triệu VND,numeric__31/12/2018 Triệu VND
A,A,A,TÀI SẢN,,,,,,,
I,A > I,I,"Tiền mặt, vàng bạc, đá quý",4,13.754.597,12.779.174,,4.0,13754597.0,12779174.0
II,A > II,II,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5,34.404.258,10.152.243,,5.0,34404258.0,10152243.0
III,A > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác,6,250.743.093,250.967.000,,6.0,250743093.0,250967000.0
1,A > 1,1,Tiền gửi tại các tổ chức tín dụng khác,,187.731.239,185.294.032,,,187731239.0,185294032.0
2,A > 2,2,Cho vay các tổ chức tín dụng khác,,66.011.854,66.672.968,,,66011854.0,66672968.0
3,A > 3,3,Dự phòng rủi ro,,(3.000.000),(1.000.000),,,-3000000.0,-1000000.0
IV,A > IV,IV,Chứng khoán kinh doanh,7,449.265,1.757.474,,7.0,449265.0,1757474.0
1,A > 1,1,Chứng khoán kinh doanh,,449.265,1.757.474,,,449265.0,1757474.0
V,A > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,8,98.312,275.983,,8.0,98312.0,275983.0
VI,A > VI,VI,Cho vay khách hàng,,718.577.387,616.948.860,,,718577387.0,616948860.0
1,A > 1,1,Cho vay khách hàng,9,728.945.394,627.183.053,,9.0,728945394.0,627183053.0
2,A > 2,2,Dự phòng rủi ro cho vay khách hàng,10,(10.368.007),(10.234.193),,10.0,-10368007.0,-10234193.0
VIII,A > VIII,VIII,Chứng khoán đầu tư,11,167.521.678,149.288.240,,11.0,167521678.0,149288240.0
1,A > 1,1,Chứng khoán đầu tư sẵn sàng để bán,,35.690.900,35.313.069,,,35690900.0,35313069.0
2,A > 2,2,Chứng khoán đầu tư giữ đến ngày đáo hạn,,132.271.302,114.251.030,,,132271302.0,114251030.0
3,A > 3,3,Dự phòng rủi ro chứng khoán đầu tư,,(440.524),(275.859),,,-440524.0,-275859.0
IX,A > IX,IX,"Góp vốn, đầu tư dài hạn",,5.781.155,5.826.795,,,5781155.0,5826795.0
1,A > 1,1,Đầu tư vào công ty con,12(a),3.442.280,3.442.280,,,3442280.0,3442280.0
2,A > 2,2,Vốn góp liên doanh,12(b),815.515,815.515,,,815515.0,815515.0
3,A > 3,3,Đầu tư vào công ty liên kết,12(c),11.110,11.110,,,11110.0,11110.0
4,A > 4,4,Đầu tư dài hạn khác,12(d),1.587.823,1.635.418,,,1587823.0,1635418.0
5,A > 5,5,Dự phòng giảm giá đầu tư dài hạn,12(e),(75.573),(77.528),,,-75573.0,-77528.0
X,A > X,X,Tài sản cố định,,6.350.217,6.194.680,,,6350217.0,6194680.0
1,A > 1,1,Tài sản cố định hữu hình,13,4.106.462,4.140.992,,13.0,4106462.0,4140992.0
a,A > a,a,Nguyên giá tài sản cố định,,10.234.039,9.677.800,,,10234039.0,9677800.0
b,A > b,b,Hao mòn tài sản cố định,,(6.127.577),(5.536.808),,,-6127577.0,-5536808.0
3,A > 3,3,Tài sản cố định vô hình,14,2.243.755,2.053.688,,14.0,2243755.0,2053688.0
a,A > a,a,Nguyên giá tài sản cố định,,2.994.941,2.721.048,,,2994941.0,2721048.0
b,A > b,b,Hao mòn tài sản cố định,,(751.186),(667.360),,,-751186.0,-667360.0
XII,A > XII,XII,Tài sản Có khác,,21.478.521,17.108.682,,,21478521.0,17108682.0
1,A > 1,1,Các khoản phải thu,15(a),8.672.572,3.999.662,,,8672572.0,3999662.0
2,A > 2,2,"Các khoản lãi, phí phải thu",15(b),8.066.139,7.367.404,,,8066139.0,7367404.0
3,A > 3,3,Tài sản thuế thu nhập doanh nghiệp hoãn lại,15(c),400.000,-,,,400000.0,
4,A > 4,4,Tài sản Có khác,15(d),4.339.810,5.741.616,,,4339810.0,5741616.0
,,,TỔNG TÀI SẢN CÓ,,1.219.158.483,1.071.299.131,,,1219158483.0,1071299131.0
