row_label_raw,row_label_full,col_0,col_1,Quá hạn,Quá hạn_1,Trong hạn,Trong hạn_1,Trong hạn_2,Trong hạn_3,Trong hạn_4,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Quá hạn_1,numeric__Trong hạn,numeric__Trong hạn_1,numeric__Trong hạn_2,numeric__Trong hạn_3,numeric__Trong hạn_4,numeric__Tổng cộng
,,,,Trên3 tháng,Đến 3 tháng,Đến 1 tháng,Từ trên1 tháng đến3 tháng,Từ trên3 tháng đến12 tháng,Từ trên1 năm đến5 năm,Trên 5 năm,Tổng cộng,,,,,,,,,
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,
,,,Tài sản,,,,,,,,,,,,,,,,,
I,I,I,"Tiền mặt, vàng bạc, đá quý",-,-,13.754.597,-,-,-,-,13.754.597,,,,13754597.0,,,,,13754597.0
II,II,II,Tiền gửi tại NHNNVN,-,-,34.404.258,-,-,-,-,34.404.258,,,,34404258.0,,,,,34404258.0
III,III,III,Tiền gửi và cho vay các TCTD khác – gộp,-,-,168.040.055,63.512.600,19.266.137,2.702.961,221.340,253.743.093,,,,168040055.0,63512600.0,19266137.0,2702961.0,221340.0,253743093.0
IV,IV,IV,Chứng khoán kinh doanh – gộp,-,-,449.265,-,-,-,-,449.265,,,,449265.0,,,,,449265.0
V,V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,-,-,98.312,-,-,-,98.312,,,,,98312.0,,,,98312.0
VI,VI,VI,Cho vay khách hàng – gộp,1.504.534,11.931.822,48.347.950,152.160.506,212.759.885,113.288.662,188.952.035,728.945.394,,1504534.0,11931822.0,48347950.0,152160506.0,212759885.0,113288662.0,188952035.0,728945394.0
VII,VII,VII,Chứng khoán đầu tư – gộp,-,-,1.985.441,8.937.296,34.737.239,88.774.014,33.528.212,167.962.202,,,,1985441.0,8937296.0,34737239.0,88774014.0,33528212.0,167962202.0
VIII,VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,-,-,-,-,-,5.856.728,5.856.728,,,,,,,,5856728.0,5856728.0
IX,IX,IX,Tài sản cố định,-,-,-,-,-,-,6.350.217,6.350.217,,,,,,,,6350217.0,6350217.0
X,X,X,Tài sản Có khác – gộp,-,-,-,21.478.521,-,-,-,21.478.521,,,,,21478521.0,,,,21478521.0
,,,Tổng tài sản,1.504.534,11.931.822,266.981.566,246.187.235,266.763.261,204.765.637,234.908.532,1.233.042.587,,1504534.0,11931822.0,266981566.0,246187235.0,266763261.0,204765637.0,234908532.0,1233042587.0
,,,Nợ phải trả,,,,,,,,,,,,,,,,,
I,I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,112.645.905,38.692.742,12.798.639,503.753,248.760,164.889.799,,,,112645905.0,38692742.0,12798639.0,503753.0,248760.0,164889799.0
II,II,II,Tiền gửi của khách hàng,-,-,249.955.888,169.998.538,281.306.905,44.660.713,182.608.360,928.530.404,,,,249955888.0,169998538.0,281306905.0,44660713.0,182608360.0,928530404.0
IV,IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,148,-,-,20.283,-,20.431,,,,148.0,,,20283.0,,20431.0
V,V,V,Phát hành giấy tờ có giá,-,-,1.806,-,-,10.373.400,10.996.215,21.371.421,,,,1806.0,,,10373400.0,10996215.0,21371421.0
VI,VI,VI,Các khoản nợ phải trả khác,-,-,-,24.072.211,-,-,1.003.156,25.075.367,,,,,24072211.0,,,1003156.0,25075367.0
,,,Tổng nợ phải trả,-,-,362.603.747,232.763.491,294.105.544,55.558.149,194.856.491,1.139.887.422,,,,362603747.0,232763491.0,294105544.0,55558149.0,194856491.0,1139887422.0
,,,Mức chênh thanh khoản ròng,1.504.534,11.931.822,(95.622.181),13.423.744,(27.342.283),149.207.488,40.052.041,93.155.165,,1504534.0,11931822.0,-95622181.0,13423744.0,-27342283.0,149207488.0,40052041.0,93155165.0
