row_label_raw,row_label_full,Năm kết thúc ngày 31 tháng 12 năm 2019,Năm kết thúc ngày 31 tháng 12 năm 2019_1,Miền Bắc (*) > Triệu VND,Miền Trung và Tây Nguyên > Triệu VND,Miền Nam > Triệu VND,Loại trừ > Triệu VND,Tổng cộng > Triệu VND,numeric__Năm kết thúc ngày 31 tháng 12 năm 2019_1,numeric__Miền Bắc (*) > Triệu VND,numeric__Miền Trung và Tây Nguyên > Triệu VND,numeric__Miền Nam > Triệu VND,numeric__Loại trừ > Triệu VND,numeric__Tổng cộng > Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,94.718.643,16.255.408,45.958.951,(89.733.955),67.199.047,,94718643.0,16255408.0,45958951.0,-89733955.0,67199047.0
2,2,2,Chi phí lãi và các chi phí tương tự,(80.063.099),(11.405.025),(31.329.873),89.733.955,(33.064.042),,-80063099.0,-11405025.0,-31329873.0,89733955.0,-33064042.0
I,I,I,Thu nhập lãi thuần,14.655.544,4.850.383,14.629.078,-,34.135.005,,14655544.0,4850383.0,14629078.0,,34135005.0
3,3,3,Thu nhập từ hoạt động dịch vụ,4.480.505,922.245,3.343.824,(1.509),8.745.065,,4480505.0,922245.0,3343824.0,-1509.0,8745065.0
4,4,4,Chi phí hoạt động dịch vụ,(4.496.489),(26.731),(90.734),1.509,(4.612.445),,-4496489.0,-26731.0,-90734.0,1509.0,-4612445.0
II,II,II,(Lỗ)/lãi thuần từ hoạt động dịch vụ,(15.984),895.514,3.253.090,-,4.132.620,,-15984.0,895514.0,3253090.0,,4132620.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,2.321.094,160.871,895.207,-,3.377.172,,2321094.0,160871.0,895207.0,,3377172.0
IV,IV,IV,Lãi thuần từ mua bán chứng khoán kinh doanh,123.062,-,-,-,123.062,,123062.0,,,,123062.0
V,V,V,Lãi thuần từ mua bán chứng khoán đầu tư,7.219,-,-,-,7.219,,7219.0,,,,7219.0
5,5,5,Thu nhập từ hoạt động khác,1.330.546,356.208,1.736.486,-,3.423.240,,1330546.0,356208.0,1736486.0,,3423240.0
6,6,6,Chi phí hoạt động khác,(131.082),(114.512),(112.296),-,(357.890),,-131082.0,-114512.0,-112296.0,,-357890.0
VI,VI,VI,Lãi thuần từ hoạt động khác,1.199.464,241.696,1.624.190,-,3.065.350,,1199464.0,241696.0,1624190.0,,3065350.0
VII,VII,VII,"Thu nhập từ góp vốn, mua cổ phần",183.268,-,-,-,183.268,,183268.0,,,,183268.0
,,,Tổng thu nhập hoạt động,18.473.667,6.148.464,20.401.565,-,45.023.696,,18473667.0,6148464.0,20401565.0,,45023696.0
VIII,VIII,VIII,Chi phí hoạt động,(10.241.577),(1.436.113),(3.876.678),-,(15.554.368),,-10241577.0,-1436113.0,-3876678.0,,-15554368.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,8.232.090,4.712.351,16.524.887,-,29.469.328,,8232090.0,4712351.0,16524887.0,,29469328.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,(3.304.114),(1.590.605),(1.857.192),-,(6.751.911),,-3304114.0,-1590605.0,-1857192.0,,-6751911.0
XI,XI,XI,Tổng lợi nhuận trước thuế,4.927.976,3.121.746,14.667.695,-,22.717.417,,4927976.0,3121746.0,14667695.0,,22717417.0
7,7,7,Chi phí thuế TNDN hiện hành,(1.358.577),(624.349),(2.933.539),-,(4.916.465),,-1358577.0,-624349.0,-2933539.0,,-4916465.0
8,8,8,Chi phí thuế TNDN hoãn lại,400.000,-,-,-,400.000,,400000.0,,,,400000.0
XII,XII,XII,Chi phí thuế TNDN,(958.577),(624.349),(2.933.539),-,(4.516.465),,-958577.0,-624349.0,-2933539.0,,-4516465.0
XIII,XIII,XIII,Lợi nhuận sau thuế,3.969.399,2.497.397,11.734.156,-,18.200.952,,3969399.0,2497397.0,11734156.0,,18200952.0
