row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND","Máy móc,thiết bịTriệu VND","Phươngtiện vận tải,truyền dẫnTriệu VND",Tài sảncó định hữuhình khácTriệu VND,Tổng cộngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND","numeric__Máy móc,thiết bịTriệu VND","numeric__Phươngtiện vận tải,truyền dẫnTriệu VND",numeric__Tài sảncó định hữuhình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,3.885.943,3.823.495,863.737,1.104.625,9.677.800,3885943.0,3823495.0,863737.0,1104625.0,9677800.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,197.915,226.157,120.499,135.902,680.473,197915.0,226157.0,120499.0,135902.0,680473.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,191.052,226.157,120.499,110.999,648.707,191052.0,226157.0,120499.0,110999.0,648707.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,6.863,-,-,24.903,31.766,6863.0,,,24903.0,31766.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(13.851),(68.139),(23.434),(18.810),(124.234),-13851.0,-68139.0,-23434.0,-18810.0,-124234.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(13.851),(39.979),(23.434),(18.810),(96.074),-13851.0,-39979.0,-23434.0,-18810.0,-96074.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,-,(28.160),-,-,(28.160),,-28160.0,,,-28160.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,4.070.007,3.981.513,960.802,1.221.717,10.234.039,4070007.0,3981513.0,960802.0,1221717.0,10234039.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,820.892,3.299.486,596.289,820.141,5.536.808,820892.0,3299486.0,596289.0,820141.0,5536808.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,185.730,293.428,82.078,150.892,712.128,185730.0,293428.0,82078.0,150892.0,712128.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,185.730,293.428,82.078,129.769,691.005,185730.0,293428.0,82078.0,129769.0,691005.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,-,-,-,21.123,21.123,,,,21123.0,21123.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(10.645),(67.658),(24.348),(18.708),(121.359),-10645.0,-67658.0,-24348.0,-18708.0,-121359.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",(8.958),(39.890),(23.434),(18.708),(90.990),-8958.0,-39890.0,-23434.0,-18708.0,-90990.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,(1.687),(27.768),(914),-,(30.369),-1687.0,-27768.0,-914.0,,-30369.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,995.977,3.525.256,654.019,952.325,6.127.577,995977.0,3525256.0,654019.0,952325.0,6127577.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,3.065.051,524.009,267.448,284.484,4.140.992,3065051.0,524009.0,267448.0,284484.0,4140992.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,3.074.030,456.257,306.783,269.392,4.106.462,3074030.0,456257.0,306783.0,269392.0,4106462.0
