row_label_raw,row_label_full,col_0,col_1,Quá hạn,Không chịu lãi,Dưới 1 tháng,Từ 1 đến 3 tháng,Từ trên 3 tháng đến 6 tháng,Từ trên 6 tháng đến 12 tháng,Từ trên 1 năm đến 5 năm,Trên 5 năm,Tổng cộng,numeric__col_1,numeric__Quá hạn,numeric__Không chịu lãi,numeric__Dưới 1 tháng,numeric__Từ 1 đến 3 tháng,numeric__Từ trên 3 tháng đến 6 tháng,numeric__Từ trên 6 tháng đến 12 tháng,numeric__Từ trên 1 năm đến 5 năm,numeric__Trên 5 năm,numeric__Tổng cộng
,,,,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,Triệu VND,,,,,,,,,,
I,I,I,Tài sản,,,,,,,,,,,,,,,,,,,
I,I > I,I,"Tiền mặt, vàng bạc, đá quý",-,13.754.597,-,-,-,-,-,-,13.754.597,,,13754597.0,,,,,,,13754597.0
II,I > II,II,Tiền gửi tại NHNNVN,-,-,34.404.258,-,-,-,-,-,34.404.258,,,,34404258.0,,,,,,34404258.0
III,I > III,III,Tiền gửi và cho vay các tổ chức tín dụng khác – gộp,-,-,168.040.056,63.512.600,5.682.919,16.507.518,-,-,253.743.093,,,,168040056.0,63512600.0,5682919.0,16507518.0,,,253743093.0
IV,I > IV,IV,Chứng khoán kinh doanh – gộp,-,-,449.265,-,-,-,-,-,449.265,,,,449265.0,,,,,,449265.0
V,I > V,V,Các công cụ tài chính phải sinh và các tài sản tài chính khác,-,98.312,-,-,-,-,-,-,98.312,,,98312.0,,,,,,,98312.0
VI,I > VI,VI,Cho vay khách hàng – gộp,13.436.356,-,170.474.956,248.680.682,167.901.002,68.869.140,56.570.589,3.012.669,728.945.394,,13436356.0,,170474956.0,248680682.0,167901002.0,68869140.0,56570589.0,3012669.0,728945394.0
VII,I > VII,VII,Chứng khoán đầu tư – gộp,-,-,2.349.121,10.561.314,8.351.206,29.631.777,86.125.572,30.943.212,167.962.202,,,,2349121.0,10561314.0,8351206.0,29631777.0,86125572.0,30943212.0,167962202.0
VIII,I > VIII,VIII,"Góp vốn, đầu tư dài hạn – gộp",-,5.856.728,-,-,-,-,-,-,5.856.728,,,5856728.0,,,,,,,5856728.0
IX,I > IX,IX,Tài sản cố định,-,6.350.217,-,-,-,-,-,-,6.350.217,,,6350217.0,,,,,,,6350217.0
X,I > X,X,Tài sản Có khác – gộp,-,21.478.521,-,-,-,-,-,-,21.478.521,,,21478521.0,,,,,,,21478521.0
,,,Tổng tài sản,13.436.356,47.538.375,375.717.656,322.754.596,181.935.127,115.008.435,142.696.161,33.955.881,1.233.042.587,,13436356.0,47538375.0,375717656.0,322754596.0,181935127.0,115008435.0,142696161.0,33955881.0,1233042587.0
I,I,I,Nợ phải trả,,,,,,,,,,,,,,,,,,,
I,I > I,I,Các khoản nợ Chính phủ và NHNNVN và tiền gửi và vay các TCTD khác,-,-,113.447.863,38.688.625,11.836.221,917.090,-,-,164.889.799,,,,113447863.0,38688625.0,11836221.0,917090.0,,,164889799.0
II,I > II,II,Tiền gửi của khách hàng,-,-,502.555.340,159.732.246,124.121.647,136.487.438,5.633.733,-,928.530.404,,,,502555340.0,159732246.0,124121647.0,136487438.0,5633733.0,,928530404.0
IV,I > IV,IV,"Vốn tài trợ, ủy thác đầu tư, cho vay mà TCTD chịu rủi ro",-,-,148,-,-,-,20.283,-,20.431,,,,148.0,,,,20283.0,,20431.0
V,I > V,V,Phát hành giấy tờ có giá,-,-,735,-,-,5.106.100,14.899.586,1.365.000,21.371.421,,,,735.0,,,5106100.0,14899586.0,1365000.0,21371421.0
VI,I > VI,VI,Các khoản nợ phải trả khác,-,24.072.211,936.283,66.873,-,-,-,-,25.075.367,,,24072211.0,936283.0,66873.0,,,,,25075367.0
,,,Tổng nợ phải trả,-,24.072.211,616.940.369,198.487.744,135.957.868,142.510.628,20.553.602,1.365.000,1.139.887.422,,,24072211.0,616940369.0,198487744.0,135957868.0,142510628.0,20553602.0,1365000.0,1139887422.0
,,,Mức chênh nhạy cảm với lãi suất nội bằng,13.436.356,23.466.164,(241.222.713),124.266.852,45.977.259,(27.502.193),122.142.559,32.590.881,93.155.165,,13436356.0,23466164.0,-241222713.0,124266852.0,45977259.0,-27502193.0,122142559.0,32590881.0,93155165.0
