row_label_raw,row_label_full,STT,Chỉ tiêu,2019Triệu VND,2018Triệu VND,numeric__Chỉ tiêu,numeric__2019Triệu VND,numeric__2018Triệu VND
,,,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,LUỦ CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH,,,
01,01,01,Thu nhập lãi và các khoản thu nhập tương tự nhận được,66.473.735,54.017.087,,66473735.0,54017087.0
02,02,02,Chi phí lãi và các chi phí tương tự đã trả,(31.483.026),(27.336.446),,-31483026.0,-27336446.0
03,03,03,Thu nhập thuần từ hoạt động dịch vụ nhận được,4.132.620,3.181.052,,4132620.0,3181052.0
04,04,04,"Chênh lệch số tiền thực thu và thực chi từ hoạt động kinh doanh ngoại tệ, vàng bạc, chứng khoán",3.026.481,3.151.593,,3026481.0,3151593.0
05,05,05,Chi phí khác đã trả,(116.186),(47.272),,-116186.0,-47272.0
06,06,06,"Tiền thu từ các khoản nợ đã được xử lý, bù đáp bằng nguồn rủi ro",3.178.776,3.271.828,,3178776.0,3271828.0
07,07,07,"Tiền chi trả cho nhân viên và hoạt động quản lý, công vụ",(14.340.384),(12.502.655),,-14340384.0,-12502655.0
08,08,08,Tiền thuế thu nhập doanh nghiệp thực nộp trong năm,(4.753.820),(2.496.616),,-4753820.0,-2496616.0
,,,Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đổi về tài sản và nợ hoạt động,26.118.196,21.238.571,,26118196.0,21238571.0
,,,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,(Tăng)/giảm về tài sản hoạt động,,,
09,09,09,Các khoản tiền gửi và cho vay các tổ chức tín dụng khác,1.159.601,216.472,,1159601.0,216472.0
10,10,10,Các khoản về kinh doanh chứng khoán,(17.089.894),(14.736.423),,-17089894.0,-14736423.0
11,11,11,Các công cụ tài chính phải sinh và các tài sản tài chính khác,177.671,556.371,,177671.0,556371.0
12,12,12,Các khoản cho vay khách hàng,(101.762.341),(88.311.384),,-101762341.0,-88311384.0
13,13,13,Giảm nguồn dự phòng để bù đáp tổn thất các khoản cho vay,(4.453.360),(4.081.374),,-4453360.0,-4081374.0
14,14,14,Tài sản hoạt động khác,(3.231.872),(2.712.294),,-3231872.0,-2712294.0
,,,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,Tăng/(giảm) về nợ hoạt động,,,
15,15,15,Các khoản nợ Chính phủ và NHNNVN,1.680.491,(80.699.753),,1680491.0,-80699753.0
16,16,16,Các khoản tiền gửi và vay các tổ chức tín dụng khác,(3.123.521),9.823.102,,-3123521.0,9823102.0
17,17,17,Các khoản tiền gửi của khách hàng,126.415.693,93.366.133,,126415693.0,93366133.0
18,18,18,Các khoản phát hành giấy tờ có giá,(47.598),3.416.795,,-47598.0,3416795.0
19,19,19,"Các khoản vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụng chịu rủi ro",(5.372),2.650,,-5372.0,2650.0
20,20,20,Công nợ hoạt động khác,483.928,789.997,,483928.0,789997.0
21,21,21,Chi từ các quỹ của tổ chức tín dụng,(1.396.449),(1.342.660),,-1396449.0,-1342660.0
I,I,I,Lưu chuyển tiền thuần từ hoạt động kinh doanh,24.925.173,(62.473.797),,24925173.0,-62473797.0
