row_label_raw,row_label_full,col_0,Quyền sử dụng đấtTriệu VND,Bản quyền và bằng sáng chếTriệu VND,Tài sân cố định vô hình khácTriệu VND,Tổng cộngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Bản quyền và bằng sáng chếTriệu VND,numeric__Tài sân cố định vô hình khácTriệu VND,numeric__Tổng cộngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,2.041.956,602.318,76.774,2.721.048,2041956.0,602318.0,76774.0,2721048.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,112.847,226.355,-,339.202,112847.0,226355.0,,339202.0
- Mua mới,Nguyên giá > - Mua mới,- Mua mới,112.847,164.794,-,277.641,112847.0,164794.0,,277641.0
- Tăng khác,Nguyên giá > - Tăng khác,- Tăng khác,-,61.561,-,61.561,,61561.0,,61561.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(2.324),(1.424),(61.561),(65.309),-2324.0,-1424.0,-61561.0,-65309.0
"- Thanh lý, nhượng bán","Nguyên giá > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.424),-,(1.424),,-1424.0,,-1424.0
- Giảm khác,Nguyên giá > - Giảm khác,- Giảm khác,(2.324),-,(61.561),(63.885),-2324.0,,-61561.0,-63885.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,2.152.479,827.249,15.213,2.994.941,2152479.0,827249.0,15213.0,2994941.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,,,,
Số dư đầu năm,Hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,59.127,546.672,61.561,667.360,59127.0,546672.0,61561.0,667360.0
Tăng trong năm,Hao mòn lũy kế > Tăng trong năm,Tăng trong năm,16.445,130.366,-,146.811,16445.0,130366.0,,146811.0
- Khấu hao,Hao mòn lũy kế > - Khấu hao,- Khấu hao,13.127,68.805,-,81.932,13127.0,68805.0,,81932.0
- Tăng khác,Hao mòn lũy kế > - Tăng khác,- Tăng khác,3.318,61.561,-,64.879,3318.0,61561.0,,64879.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,-,(1.424),(61.561),(62.985),,-1424.0,-61561.0,-62985.0
"- Thanh lý, nhượng bán","Hao mòn lũy kế > - Thanh lý, nhượng bán","- Thanh lý, nhượng bán",-,(1.424),-,(1.424),,-1424.0,,-1424.0
- Giảm khác,Hao mòn lũy kế > - Giảm khác,- Giảm khác,-,-,(61.561),(61.561),,,-61561.0,-61561.0
Số dư cuối năm,Hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,75.572,675.614,-,751.186,75572.0,675614.0,,751186.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,1.982.829,55.646,15.213,2.053.688,1982829.0,55646.0,15213.0,2053688.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,2.076.907,151.635,15.213,2.243.755,2076907.0,151635.0,15213.0,2243755.0
