row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮUNỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,15,200.928,312.218,,15.0,200928.0,312218.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,16,3.477.475,1.172.538,,16.0,3477475.0,1172538.0
1,B > 1,1,Tiền gửi,,3.010.758,788.037,,,3010758.0,788037.0
2,B > 2,2,Tiền vay,,466.717,384.501,,,466717.0,384501.0
III,B > III,III,Tiền gửi của khách hàng,17,22.892.082,20.129.040,,17.0,22892082.0,20129040.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,,-,555,,,,555.0
VII,B > VII,VII,Các khoản nợ khác,,491.596,378.601,,,491596.0,378601.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,401.935,285.086,,,401935.0,285086.0
3,B > 3,3,Các khoản phải trả và công nợ khác,18,89.661,93.515,,18.0,89661.0,93515.0
,,,TỔNG NỘ PHẢI TRẢ,,27.062.081,21.992.952,,,27062081.0,21992952.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn và các quỹ,19,3.349.416,3.367.579,,19.0,3349416.0,3367579.0
1,B > 1,1,Vốn,,2.965.800,2.965.800,,,2965800.0,2965800.0
a,B > a,a,Vốn điều lệ,,3.000.000,3.000.000,,,3000000.0,3000000.0
d,B > d,d,Cổ phiếu quỹ,,(34.200),(34.200),,,-34200.0,-34200.0
2,B > 2,2,Các quỹ,,264.636,240.435,,,264636.0,240435.0
5,B > 5,5,Lợi nhuận chưa phân phối,,118.980,161.344,,,118980.0,161344.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,3.349.416,3.367.579,,,3349416.0,3367579.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,30.411.497,25.360.531,,,30411497.0,25360531.0
