row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,Quá hạn,Dưới 1 tháng,Từ trên 1 đến 3 tháng,Từ trên 3 đến 6 tháng,Từ trên 6 đến 12 tháng,Từ trên 1 đến 5 năm,Trên 5 năm,numeric__Quá hạn,numeric__Dưới 1 tháng,numeric__Từ trên 1 đến 3 tháng,numeric__Từ trên 3 đến 6 tháng,numeric__Từ trên 6 đến 12 tháng,numeric__Từ trên 1 đến 5 năm,numeric__Trên 5 năm
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,
Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,,,,,,,,,,,,,,
▪ VND,Tiền gửi tại NHNNVN > ▪ VND,▪ VND,-,"1,20%",-,-,-,-,-,,0.012,,,,,
▪ Ngoại tệ,Tiền gửi tại NHNNVN > ▪ Ngoại tệ,▪ Ngoại tệ,,"0,05%",-,-,-,-,-,,0.0005,,,,,
Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"5,09%","5,30%",-,-,-,-,,0.0509,0.053,,,,
▪ Ngoại tệ,Tiền gửi và cho vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,53%",-,-,-,-,-,,0.0053,,,,,
Cho vay khách hàng,Cho vay khách hàng,Cho vay khách hàng,,,,,,,,,,,,,,
▪ VND,Cho vay khách hàng > ▪ VND,▪ VND,"15,15%","7,48%","7,64%","7,16%","9,56%","11,29%","10,72%",0.1515,0.0748,0.0764,0.0716,0.0956,0.11289999999999999,0.1072
▪ Ngoại tệ,Cho vay khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,-,-,"2,85%","4,71%",-,,,,,0.0285,0.0471,
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,,,,,,,,,,,,,,
▪ VND,Chứng khoán đầu tư > ▪ VND,▪ VND,-,-,-,-,-,"6,71%",-,,,,,,0.06709999999999999,
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,
Các khoản nợ NHNN,Các khoản nợ NHNN,Các khoản nợ NHNN,,,,,,,,,,,,,,
▪ VND,Các khoản nợ NHNN > ▪ VND,▪ VND,-,"5,00%",-,-,-,-,-,,0.05,,,,,
Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,,,,,,,,,,,,,,
▪ VND,Tiền gửi và vay các tổ chức tín dụng khác > ▪ VND,▪ VND,-,"1,01%","5,13%","5,26%",-,-,-,,0.0101,0.0513,0.0526,,,
▪ Ngoại tệ,Tiền gửi và vay các tổ chức tín dụng khác > ▪ Ngoại tệ,▪ Ngoại tệ,-,-,"0,70%","0,10%","0,54%",-,-,,,0.006999999999999999,0.001,0.0054,,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,,,,,,,,,,,,,,
▪ VND,Tiền gửi của khách hàng > ▪ VND,▪ VND,-,"1,01%","5,24%","5,23%","5,89%",-,-,,0.0101,0.0524,0.052300000000000006,0.058899999999999994,,
▪ Ngoại tệ,Tiền gửi của khách hàng > ▪ Ngoại tệ,▪ Ngoại tệ,-,"0,23%","0,12%","0,12%","0,31%",-,-,,0.0023,0.0012,0.0012,0.0031,,
