row_label_raw,row_label_full,2015,2015_1,Miền Bắc Triệu VND,Miền Trung Triệu VND,Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__2015_1,numeric__Miền Bắc Triệu VND,numeric__Miền Trung Triệu VND,numeric__Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I.,I.,I.,Doanh thu,267.333,367.657,4.085.544,(2.592.348),2.128.186,,267333.0,367657.0,4085544.0,-2592348.0,2128186.0
1.,1.,1.,Doanh thu lãi,267.290,363.873,4.070.881,(2.592.348),2.109.696,,267290.0,363873.0,4070881.0,-2592348.0,2109696.0
,,,Doanh thu lãi khách hàng bên ngoài,84.566,163.325,1.861.805,-,2.109.696,,84566.0,163325.0,1861805.0,,2109696.0
,,,Doanh thu lãi nội bộ,182.724,200.548,2.209.076,(2.592.348),-,,182724.0,200548.0,2209076.0,-2592348.0,
2.,2.,2.,Thu nhập từ hoạt động dịch vụ,480,624,6.184,-,7.288,,480.0,624.0,6184.0,,7288.0
3.,3.,3.,Doanh thu từ hoạt động kinh doanh khác,(437),3.160,8.479,-,11.202,,-437.0,3160.0,8479.0,,11202.0
II.,II.,II.,Chi phí,(237.680),(334.285),(3.873.292),2.592.348,(1.852.909),,-237680.0,-334285.0,-3873292.0,2592348.0,-1852909.0
1.,1.,1.,Chi phí lãi,(199.742),(269.205),(3.419.137),2.592.348,(1.295.736),,-199742.0,-269205.0,-3419137.0,2592348.0,-1295736.0
,,,Chi phí lãi khách hàng bên ngoài,(160.581),(190.769),(944.386),-,(1.295.736),,-160581.0,-190769.0,-944386.0,,-1295736.0
,,,Chi phí lãi nội bộ,(39.161),(78.436),(2.474.751),2.592.348,-,,-39161.0,-78436.0,-2474751.0,2592348.0,
2.,2.,2.,Chi phí khấu hao tài sản cố định,(907),(3.444),(33.297),-,(37.648),,-907.0,-3444.0,-33297.0,,-37648.0
3.,3.,3.,Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(37.031),(61.636),(420.858),-,(519.525),,-37031.0,-61636.0,-420858.0,,-519525.0
Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,Kết quả kinh doanh trước chi phí dự phòng rủi ro tín dụng,29.653,33.372,212.252,-,275.277,,29653.0,33372.0,212252.0,,275277.0
Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,Chi phí dự phòng rủi ro tín dụng,(4.933),(8.822),(51.904),-,(65.659),,-4933.0,-8822.0,-51904.0,,-65659.0
Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,Kết quả kinh doanh bộ phận,24.720,24.550,160.348,-,209.618,,24720.0,24550.0,160348.0,,209618.0
III.,III.,III.,Tài sản,830.080,1.671.833,22.858.618,-,25.360.531,,830080.0,1671833.0,22858618.0,,25360531.0
1.,1.,1.,Tiền mặt,27.998,26.994,151.926,-,206.918,,27998.0,26994.0,151926.0,,206918.0
2.,2.,2.,Tài sản cố định,3.784,163.163,874.338,-,1.041.285,,3784.0,163163.0,874338.0,,1041285.0
3.,3.,3.,Tài sản khác,798.298,1.481.676,21.832.354,-,24.112.328,,798298.0,1481676.0,21832354.0,,24112328.0
IV.,IV.,IV.,Nợ phải trả,2.456.221,2.996.180,16.540.551,-,21.992.952,,2456221.0,2996180.0,16540551.0,,21992952.0
1.,1.,1.,Nợ phải trả khách hàng bên ngoài,2.454.988,2.994.694,16.449.755,-,21.899.437,,2454988.0,2994694.0,16449755.0,,21899437.0
2.,2.,2.,Nợ phải trả khác,1.233,1.486,90.796,-,93.515,,1233.0,1486.0,90796.0,,93515.0
