row_label_raw,row_label_full,2015,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,"Thiết bị, dụngcụ quản lýTriệu VND",Tài sản cố địnhhữu hình khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,"numeric__Thiết bị, dụngcụ quản lýTriệu VND",numeric__Tài sản cố địnhhữu hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,152.553,62.788,68.036,14.418,9.723,307.518,152553.0,62788.0,68036.0,14418.0,9723.0,307518.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,12.377,23.945,17.606,191,-,54.119,12377.0,23945.0,17606.0,191.0,,54119.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,101.900,518,-,-,1.311,103.729,101900.0,518.0,,,1311.0,103729.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(837),(943),(2.099),-,(3.879),,-837.0,-943.0,-2099.0,,-3879.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,1.211,-,-,-,(1.211),-,1211.0,,,,-1211.0,
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,268.041,86.414,84.699,12.510,9.823,461.487,268041.0,86414.0,84699.0,12510.0,9823.0,461487.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,9.892,25.567,19.287,6.659,688,62.093,9892.0,25567.0,19287.0,6659.0,688.0,62093.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,7.622,11.205,7.726,1.862,1.961,30.376,7622.0,11205.0,7726.0,1862.0,1961.0,30376.0
Thanh lý,Giá trị hao mòn luỹ kế > Thanh lý,Thanh lý,-,(828),(526),(2.086),-,(3.440),,-828.0,-526.0,-2086.0,,-3440.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,109,-,-,-,(109),-,109.0,,,,-109.0,
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,17.623,35.944,26.487,6.435,2.540,89.029,17623.0,35944.0,26487.0,6435.0,2540.0,89029.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,142.661,37.221,48.749,7.759,9.035,245.425,142661.0,37221.0,48749.0,7759.0,9035.0,245425.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,250.418,50.470,58.212,6.075,7.283,372.458,250418.0,50470.0,58212.0,6075.0,7283.0,372458.0
