row_label_raw,row_label_full,2015,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,571.094,50.472,3.333,624.899,571094.0,50472.0,3333.0,624899.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,68.360,2.522,50,70.932,68360.0,2522.0,50.0,70932.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,639.454,52.994,3.383,695.831,639454.0,52994.0,3383.0,695831.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.339,17.440,953,19.732,1339.0,17440.0,953.0,19732.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,299,6.385,588,7.272,299.0,6385.0,588.0,7272.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.638,23.825,1.541,27.004,1638.0,23825.0,1541.0,27004.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,569.755,33.032,2.380,605.167,569755.0,33032.0,2380.0,605167.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,637.816,29.169,1.842,668.827,637816.0,29169.0,1842.0,668827.0
