row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Các quỹ khác Triệu VND,Lợi nhuận chưa phân phối Triệu VND,Tổng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Các quỹ khác Triệu VND,numeric__Lợi nhuận chưa phân phối Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,Số dư tại ngày 1 tháng 1 năm 2015,3.000.000,(34.200),68.407,146.022,3,179.816,3.360.048,3000000.0,-34200.0,68407.0,146022.0,3.0,179816.0,3360048.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,163.911,163.911,,,,,,163911.0,163911.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,8.668,17.335,-,(26.003),-,,,8668.0,17335.0,,-26003.0,
Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),-,-,-,-,-,(148.100),(148.100),,,,,,-148100.0,-148100.0
Trích lập Quỹ khen thưởng và phúc lợi,Trích lập Quỹ khen thưởng và phúc lợi,Trích lập Quỹ khen thưởng và phúc lợi,-,-,-,-,-,(8.280),(8.280),,,,,,-8280.0,-8280.0
Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,Số dư tại ngày 1 tháng 1 năm 2016,3.000.000,(34.200),77.075,163.357,3,161.344,3.367.579,3000000.0,-34200.0,77075.0,163357.0,3.0,161344.0,3367579.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,112.868,112.868,,,,,,112868.0,112868.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,8.068,16.133,-,(24.201),-,,,8068.0,16133.0,,-24201.0,
Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),Chia cổ tức (Thuyết minh số 20),-,-,-,-,-,(118.480),(118.480),,,,,,-118480.0,-118480.0
Trích lập Quỹ khen thưởng và phúc lợi,Trích lập Quỹ khen thưởng và phúc lợi,Trích lập Quỹ khen thưởng và phúc lợi,-,-,-,-,-,(11.320),(11.320),,,,,,-11320.0,-11320.0
Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,Chuyển tiền trích lập quỹ cho Công ty con,-,-,-,-,-,(1.231),(1.231),,,,,,-1231.0,-1231.0
Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,Số dư tại ngày 31 tháng 12 năm 2016,3.000.000,(34.200),85.143,179.490,3,118.980,3.349.416,3000000.0,-34200.0,85143.0,179490.0,3.0,118980.0,3349416.0
