row_label_raw,row_label_full,Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > - Chứng khoán đầu tư giữ đến ngàyđáo hạn khác,31/12/2016 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 587.209,31/12/2016 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),31/12/2015 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 340.724,31/12/2015 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),numeric__31/12/2016 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 587.209,numeric__31/12/2016 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*),numeric__31/12/2015 > Giá trị ghi số Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > 340.724,numeric__31/12/2015 > Giá trị hợp lý Triệu VND > Được phân loại là các khoản đầu tư nắm giữ đến ngày đáo hạn: > (*)
Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,Được phân loại là các khoản cho vay và phải thu:,,,,
- Tiền gửi tại NHNNVN,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi tại NHNNVN,- Tiền gửi tại NHNNVN,901.778,901.778,721.384,721.384,901778.0,901778.0,721384.0,721384.0
- Tiền gửi và cho vay các tổ chứctín dụng khác,Được phân loại là các khoản cho vay và phải thu: > - Tiền gửi và cho vay các tổ chứctín dụng khác,- Tiền gửi và cho vay các tổ chứctín dụng khác,3.090.239,(*),1.772.864,(*),3090239.0,,1772864.0,
- Cho vay khách hàng,Được phân loại là các khoản cho vay và phải thu: > - Cho vay khách hàng,- Cho vay khách hàng,19.596.649,(*),16.080.186,(*),19596649.0,,16080186.0,
"- Các khoản lãi, phí phải thu","Được phân loại là các khoản cho vay và phải thu: > - Các khoản lãi, phí phải thu","- Các khoản lãi, phí phải thu",1.274.730,(*),1.129.643,(*),1274730.0,,1129643.0,
- Các khoản phải thu,Được phân loại là các khoản cho vay và phải thu: > - Các khoản phải thu,- Các khoản phải thu,78.808,(*),38.895,(*),78808.0,,38895.0,
Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,Được phân loại là tài sản tài chính sẵn sàng để bán:,,,,
- Chứng khoán vốn sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Chứng khoán vốn sẵn sàng để bán,- Chứng khoán vốn sẵn sàng để bán,523.284,(*),520.723,518.023,523284.0,,520723.0,518023.0
- Chứng khoán nợ sẵn sàng để bán,Được phân loại là tài sản tài chính sẵn sàng để bán: > - Chứng khoán nợ sẵn sàng để bán,- Chứng khoán nợ sẵn sàng để bán,1.811.165,,2.616.838,,1811165.0,,2616838.0,
• Có giá niêm yết,Được phân loại là tài sản tài chính sẵn sàng để bán: > • Có giá niêm yết,• Có giá niêm yết,208.459,225.213,98.589,104.945,208459.0,225213.0,98589.0,104945.0
