row_label_raw,row_label_full,col_0,31/12/2016Triệu VND,31/12/2015Triệu VND,numeric__31/12/2016Triệu VND,numeric__31/12/2015Triệu VND
Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,Tiền gửi không kỳ hạn bằng VND,5.753,8.145,5753.0,8145.0
Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,Tiền gửi có kỳ hạn,,,,
Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn > Tiền gửi có kỳ hạn bằng VND,Tiền gửi có kỳ hạn bằng VND,2.672.620,253.000,2672620.0,253000.0
Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn > Tiền gửi có kỳ hạn bằng ngoại tệ,Tiền gửi có kỳ hạn bằng ngoại tệ,332.385,526.892,332385.0,526892.0
,,,3.010.758,788.037,3010758.0,788037.0
Vay các TCTD khác,Vay các TCTD khác,Vay các TCTD khác,,,,
Vay các TCTD khác bằng VND (i),Vay các TCTD khác > Vay các TCTD khác bằng VND (i),Vay các TCTD khác bằng VND (i),465.625,383.422,465625.0,383422.0
Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác > Vay các TCTD khác bằng ngoại tệ,Vay các TCTD khác bằng ngoại tệ,1.092,1.079,1092.0,1079.0
,,,466.717,384.501,466717.0,384501.0
,,,3.477.475,1.172.538,3477475.0,1172538.0
