row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2015,VNDTriệu VND,USDTriệu VND,EURTriệu VND,Tiền tệ khácTriệu VND,TổngTriệu VND,numeric__VNDTriệu VND,numeric__USDTriệu VND,numeric__EURTriệu VND,numeric__Tiền tệ khácTriệu VND,numeric__TổngTriệu VND
Tài sản,Tài sản,Tài sản,,,,,,,,,,
Tiền mặt,Tài sản > Tiền mặt,Tiền mặt,177.060,23.175,5.453,1.230,206.918,177060.0,23175.0,5453.0,1230.0,206918.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,696.386,24.998,-,-,721.384,696386.0,24998.0,,,721384.0
Tiền gửi và cho vay các tổ chức tín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chức tín dụng khác,Tiền gửi và cho vay các tổ chức tín dụng khác,955.987,812.430,2.580,1.867,1.772.864,955987.0,812430.0,2580.0,1867.0,1772864.0
Cho vay khách hàng – gộp,Tài sản > Cho vay khách hàng – gộp,Cho vay khách hàng – gộp,16.127.749,90.235,-,-,16.217.984,16127749.0,90235.0,,,16217984.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,3.556.583,-,-,-,3.556.583,3556583.0,,,,3556583.0
"Gộp vốn, đầu tư dài hạn","Tài sản > Gộp vốn, đầu tư dài hạn","Gộp vốn, đầu tư dài hạn",530.530,-,-,-,530.530,530530.0,,,,530530.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,1.041.285,-,-,-,1.041.285,1041285.0,,,,1041285.0
Tài sản có khác,Tài sản > Tài sản có khác,Tài sản có khác,1.529.079,-,-,-,1.529.079,1529079.0,,,,1529079.0
,,,24.614.659,950.838,8.033,3.097,25.576.627,24614659.0,950838.0,8033.0,3097.0,25576627.0
Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,Nợ phải trả và vốn chủ sở hữu,,,,,,,,,,
Các khoản nợ NHNNVN,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ NHNNVN,Các khoản nợ NHNNVN,312.218,-,-,-,312.218,312218.0,,,,312218.0
Tiền gửi và vay các tổ chức tín dụng khác,Nợ phải trả và vốn chủ sở hữu > Tiền gửi và vay các tổ chức tín dụng khác,Tiền gửi và vay các tổ chức tín dụng khác,644.567,527.971,-,-,1.172.538,644567.0,527971.0,,,1172538.0
Tiền gửi của khách hàng,Nợ phải trả và vốn chủ sở hữu > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19.787.555,329.332,12.145,8,20.129.040,19787555.0,329332.0,12145.0,8.0,20129040.0
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Nợ phải trả và vốn chủ sở hữu > Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,555,-,-,-,555,555.0,,,,555.0
Các khoản nợ khác,Nợ phải trả và vốn chủ sở hữu > Các khoản nợ khác,Các khoản nợ khác,378.601,-,-,-,378.601,378601.0,,,,378601.0
Vốn và các quỹ,Nợ phải trả và vốn chủ sở hữu > Vốn và các quỹ,Vốn và các quỹ,3.367.579,-,-,-,3.367.579,3367579.0,,,,3367579.0
,,,24.491.075,857.303,12.145,8,25.360.531,24491075.0,857303.0,12145.0,8.0,25360531.0
Trạng thái tiền tệ nội bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội bằng,Trạng thái tiền tệ nội bằng,123.584,93.535,(4.112),3.089,216.096,123584.0,93535.0,-4112.0,3089.0,216096.0
Trạng thái tiền tệ ngoại bằng,Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ ngoại bằng,Trạng thái tiền tệ ngoại bằng,-,(6.095),5.540,-,(555),,-6095.0,5540.0,,-555.0
"Trạng thái tiền tệ nội, ngoại bằng","Nợ phải trả và vốn chủ sở hữu > Trạng thái tiền tệ nội, ngoại bằng","Trạng thái tiền tệ nội, ngoại bằng",123.584,87.440,1.428,3.089,215.541,123584.0,87440.0,1428.0,3089.0,215541.0
