row_label_raw,row_label_full,2016,Quyền sử dụng đấtTriệu VND,Phần mềm máy vi tínhTriệu VND,Tài sản cố định vô hình khácTriệu VND,TổngTriệu VND,numeric__Quyền sử dụng đấtTriệu VND,numeric__Phần mềm máy vi tínhTriệu VND,numeric__Tài sản cố định vô hình khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,639.454,52.994,3.383,695.831,639454.0,52994.0,3383.0,695831.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,1.889,62,1.951,,1889.0,62.0,1951.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,76.331,812,755,77.898,76331.0,812.0,755.0,77898.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(4.863),-,-,(4.863),-4863.0,,,-4863.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,-,(1.944),1.944,-,,-1944.0,1944.0,
Phân loại lại sang tài sản Có khác,Nguyên giá > Phân loại lại sang tài sản Có khác,Phân loại lại sang tài sản Có khác,(5.929),-,-,(5.929),-5929.0,,,-5929.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,704.993,53.751,6.144,764.888,704993.0,53751.0,6144.0,764888.0
Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,Giá trị hao mòn luỹ kế,,,,
Số dư đầu năm,Giá trị hao mòn luỹ kế > Số dư đầu năm,Số dư đầu năm,1.638,23.825,1.541,27.004,1638.0,23825.0,1541.0,27004.0
Khấu hao trong năm,Giá trị hao mòn luỹ kế > Khấu hao trong năm,Khấu hao trong năm,330,6.645,1.091,8.066,330.0,6645.0,1091.0,8066.0
Phân loại lại,Giá trị hao mòn luỹ kế > Phân loại lại,Phân loại lại,-,(227),227,-,,-227.0,227.0,
Phân loại lại sang tài sản Có khác,Giá trị hao mòn luỹ kế > Phân loại lại sang tài sản Có khác,Phân loại lại sang tài sản Có khác,(46),-,-,(46),-46.0,,,-46.0
Số dư cuối năm,Giá trị hao mòn luỹ kế > Số dư cuối năm,Số dư cuối năm,1.922,30.243,2.859,35.024,1922.0,30243.0,2859.0,35024.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,637.816,29.169,1.842,668.827,637816.0,29169.0,1842.0,668827.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,703.071,23.508,3.285,729.864,703071.0,23508.0,3285.0,729864.0
