row_label_raw,row_label_full,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực hoạt động chính,Tỷ lệ % sở hữu của Ngân hàng,Tỷ lệ % sở hữu của Ngân hàng_1,numeric__Giấy Chứng nhận Đăng ký Kinh doanh,numeric__Lĩnh vực hoạt động chính,numeric__Tỷ lệ % sở hữu của Ngân hàng,numeric__Tỷ lệ % sở hữu của Ngân hàng_1
Tên công ty,Tên công ty,Tên công ty,Giấy Chứng nhận Đăng ký Kinh doanh,Lĩnh vực hoạt động chính,31/12/2016,31/12/2015,,,,
Công ty TNHH Một Thành viên Quản lý nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Tên công ty > Công ty TNHH Một Thành viên Quản lý nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Công ty TNHH Một Thành viên Quản lý nợ và Khai thác Tài sản – Ngân hàng Thương mại Cổ phần Kiên Long,Giấy Chứng nhận Đăng ký Kinh doanh số 1701452905 ngày 21 tháng 8 năm 2014 do Sở Kế hoạch và Đầu tư Tinh Kiên Giang cấp,Quản lý nợ và khai thác tài sản,100%,100%,,,1.0,1.0
