row_label_raw,row_label_full,2018,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócthiết bịTriệu VND,Phương tiệnvận chuyểnTriệu VND,Thiết bịvăn phòngTriệu VND,Tài sâncó định khácTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócthiết bịTriệu VND,numeric__Phương tiệnvận chuyểnTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__Tài sâncó định khácTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,440.632,665.290,216.210,46.332,591.559,1.960.023,440632.0,665290.0,216210.0,46332.0,591559.0,1960023.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,67.371,22.858,-,-,90.229,,67371.0,22858.0,,,90229.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,43.060,22.894,21.549,1.436,20.657,109.596,43060.0,22894.0,21549.0,1436.0,20657.0,109596.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,(13.268),(6.836),(1.311),-,(21.415),,-13268.0,-6836.0,-1311.0,,-21415.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,483.692,742.287,253.781,46.457,612.216,2.138.433,483692.0,742287.0,253781.0,46457.0,612216.0,2138433.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.448,458.670,178.791,38.395,446.549,1.174.853,52448.0,458670.0,178791.0,38395.0,446549.0,1174853.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.413,47.789,13.912,2.478,38.242,114.834,12413.0,47789.0,13912.0,2478.0,38242.0,114834.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,(13.268),(6.836),(1.311),-,(21.415),,-13268.0,-6836.0,-1311.0,,-21415.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,64.861,493.191,185.867,39.562,484.791,1.268.272,64861.0,493191.0,185867.0,39562.0,484791.0,1268272.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,388.184,206.620,37.419,7.937,145.010,785.170,388184.0,206620.0,37419.0,7937.0,145010.0,785170.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,418.831,249.096,67.914,6.895,127.425,870.161,418831.0,249096.0,67914.0,6895.0,127425.0,870161.0
