row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu VND,Vốn đầu tư XDCB và mua sắm TSCĐ Triệu VND,Thặng dư vốn cổ phần Triệu VND,Cổ phiếu quỹ Triệu VND,Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,Quỹ dự phòng tài chính Triệu VND,Quỹ đầu tư phát triển Triệu VND,Lợi nhuận chưa phân phối/(lỗ lũy kê) Triệu VND,Tổng Triệu VND,numeric__Vốn điều lệ Triệu VND,numeric__Vốn đầu tư XDCB và mua sắm TSCĐ Triệu VND,numeric__Thặng dư vốn cổ phần Triệu VND,numeric__Cổ phiếu quỹ Triệu VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu VND,numeric__Quỹ dự phòng tài chính Triệu VND,numeric__Quỹ đầu tư phát triển Triệu VND,numeric__Lợi nhuận chưa phân phối/(lỗ lũy kê) Triệu VND,numeric__Tổng Triệu VND
Số dư tại ngày1 tháng 1 năm 2017,Số dư tại ngày1 tháng 1 năm 2017,Số dư tại ngày1 tháng 1 năm 2017,12.355.229,15.396,156.322,(78.273),501.514,961.014,326,(463.109),13.448.419,12355229.0,15396.0,156322.0,-78273.0,501514.0,961014.0,326.0,-463109.0,13448419.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,822.830,822.830,,,,,,,,822830.0,822830.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,41.408,82.815,-,(124.223),-,,,,,41408.0,82815.0,,-124223.0,
Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,Sử dụng các quỹ trong năm,-,-,-,-,-,(68),-,-,(68),,,,,,-68.0,,,-68.0
Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),-,-,-,-,-,-,-,(30.000),(30.000),,,,,,,,-30000.0,-30000.0
Biến động khác (Thuyết minh 19(ii)),Biến động khác (Thuyết minh 19(ii)),Biến động khác (Thuyết minh 19(ii)),-,-,-,-,-,-,-,10.000,10.000,,,,,,,,10000.0,10000.0
Số dư tại ngày1 tháng 1 năm 2018,Số dư tại ngày1 tháng 1 năm 2018,Số dư tại ngày1 tháng 1 năm 2018,12.355.229,15.396,156.322,(78.273),542.922,1.043.761,326,215.498,14.251.181,12355229.0,15396.0,156322.0,-78273.0,542922.0,1043761.0,326.0,215498.0,14251181.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,-,-,660.590,660.590,,,,,,,,660590.0,660590.0
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,-,-,32.838,65.676,-,(98.514),-,,,,,32838.0,65676.0,,-98514.0,
Sử dụng các quỹ,Sử dụng các quỹ,Sử dụng các quỹ,-,-,-,-,-,(53),-,,(53),,,,,,-53.0,,,-53.0
Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),Trích lập quỹ khen thưởng và phúc lợi (Thuyết minh 19(ii)),-,-,-,-,-,-,-,(57.000),(57.000),,,,,,,,-57000.0,-57000.0
Biến động khác (Thuyết minh 19(ii)),Biến động khác (Thuyết minh 19(ii)),Biến động khác (Thuyết minh 19(ii)),-,-,-,-,-,316,-,28.500,28.816,,,,,,316.0,,28500.0,28816.0
Số dư tại ngày31 tháng 12 năm 2018,Số dư tại ngày31 tháng 12 năm 2018,Số dư tại ngày31 tháng 12 năm 2018,12.355.229,15.396,156.322,(78.273),575.760,1.109.700,326,749.074,14.883.534,12355229.0,15396.0,156322.0,-78273.0,575760.0,1109700.0,326.0,749074.0,14883534.0
