row_label_raw,row_label_full,col_0,Khu vực Miền Bắc Triệu VND,Khu vực Miền Trung Triệu VND,Khu vực Miền Nam Triệu VND,Loại trừ Triệu VND,Tổng Triệu VND,numeric__Khu vực Miền Bắc Triệu VND,numeric__Khu vực Miền Trung Triệu VND,numeric__Khu vực Miền Nam Triệu VND,numeric__Loại trừ Triệu VND,numeric__Tổng Triệu VND
I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,I. Doanh thu,,,,,
1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,I. Doanh thu > 1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1. Doanh thu lãiDoanh thu lãi từ khách hàng bên ngoài,1.317.693,1.163.945,7.451.855,-,9.933.493,1317693.0,1163945.0,7451855.0,,9933493.0
Doanh thu lãi nội bộ,I. Doanh thu > Doanh thu lãi nội bộ,Doanh thu lãi nội bộ,1.313.926,595.479,13.314.385,(15.223.790),-,1313926.0,595479.0,13314385.0,-15223790.0,
2. Thu nhập từ hoạt động dịch vụ,I. Doanh thu > 2. Thu nhập từ hoạt động dịch vụ,2. Thu nhập từ hoạt động dịch vụ,70.924,32.683,579.984,-,683.591,70924.0,32683.0,579984.0,,683591.0
3. Doanh thu từ hoạt động kinh doanh khác,I. Doanh thu > 3. Doanh thu từ hoạt động kinh doanh khác,3. Doanh thu từ hoạt động kinh doanh khác,53.827,17.083,1.044.548,-,1.115.458,53827.0,17083.0,1044548.0,,1115458.0
II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,II. Chi phí,,,,,
1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,II. Chi phí > 1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,1. Chi phí lãiChi phí lãi cho khách hàng bên ngoài,(1.099.087),(500.730),(5.126.781),-,(6.726.598),-1099087.0,-500730.0,-5126781.0,,-6726598.0
Chi phí lãi nội bộ,II. Chi phí > Chi phí lãi nội bộ,Chi phí lãi nội bộ,(1.121.111),(984.277),(13.118.402),15.223.790,-,-1121111.0,-984277.0,-13118402.0,15223790.0,
2. Chi phí khấu hao tài sản cố định,II. Chi phí > 2. Chi phí khấu hao tài sản cố định,2. Chi phí khấu hao tài sản cố định,(19.237),(12.032),(105.747),-,(137.016),-19237.0,-12032.0,-105747.0,,-137016.0
3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,II. Chi phí > 3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,3. Chi phí liên quan trực tiếp đến hoạt động kinh doanh,(384.208),(199.115),(2.734.931),-,(3.318.254),-384208.0,-199115.0,-2734931.0,,-3318254.0
Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,II. Chi phí > Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,Kết quả hoạt động kinh doanh trước chi phí dự phòng rủi ro,132.727,113.036,1.304.911,-,1.550.674,132727.0,113036.0,1304911.0,,1550674.0
Chi phí dự phòng rủi ro,II. Chi phí > Chi phí dự phòng rủi ro,Chi phí dự phòng rủi ro,(293.693),(18.920),(410.933),-,(723.546),-293693.0,-18920.0,-410933.0,,-723546.0
Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,II. Chi phí > Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,Kết quả hoạt động kinh doanh bộ phận trước thuế TNDN,(160.966),94.116,893.978,-,827.128,-160966.0,94116.0,893978.0,,827128.0
