row_label_raw,row_label_full,col_0,col_1,Thuyết minh,2018 Triệu VND,2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__2018 Triệu VND,numeric__2017 Triệu VND
1,1,1,Thu nhập lãi và các khoản thu nhập tương tự,22,9.933.493,8.950.649,,22.0,9933493.0,8950649.0
2,2,2,Chi phí lãi và các chi phí tương tự,22,(6.726.598),(6.282.831),,22.0,-6726598.0,-6282831.0
I,I,I,Thu nhập lãi thuần,22,3.206.895,2.667.818,,22.0,3206895.0,2667818.0
3,3,3,Thu nhập từ hoạt động dịch vụ,23,683.591,619.088,,23.0,683591.0,619088.0
4,4,4,Chi phí hoạt động dịch vụ,23,(336.933),(287.894),,23.0,-336933.0,-287894.0
II,II,II,Lãi thuần từ hoạt động dịch vụ,23,346.658,331.194,,23.0,346658.0,331194.0
III,III,III,Lãi thuần từ hoạt động kinh doanh ngoại hối,24,269.073,227.832,,24.0,269073.0,227832.0
V,V,V,(Lỗ)/lãi thuần từ mua bán chứng khoán đầu tư,25,(116.033),62.621,,25.0,-116033.0,62621.0
5,5,5,Thu nhập từ hoạt động khác,26,326.970,698.732,,26.0,326970.0,698732.0
6,6,6,Chi phí hoạt động khác,26,(101.400),(267.622),,26.0,-101400.0,-267622.0
VI,VI,VI,Lãi thuần từ hoạt động khác,26,225.570,431.110,,26.0,225570.0,431110.0
VII,VII,VII,"Lãi từ góp vốn, mua cổ phần",27,519.415,107.648,,27.0,519415.0,107648.0
VIII,VIII,VIII,Chi phí hoạt động,28,(2.900.904),(2.206.068),,28.0,-2900904.0,-2206068.0
IX,IX,IX,Lợi nhuận thuần từ hoạt động kinh doanh trước chi phí dự phòng rủi ro tín dụng,,1.550.674,1.622.155,,,1550674.0,1622155.0
X,X,X,Chi phí dự phòng rủi ro tín dụng,29,(723.546),(604.576),,29.0,-723546.0,-604576.0
XI,XI,XI,Tổng lợi nhuận trước thuế (mang sang trang sau),,827.128,1.017.579,,,827128.0,1017579.0
