row_label_raw,row_label_full,2018,Số dư đầu năm > Phải trảTriệu VND,Số dư đầu năm > Số phát sinhTriệu VND,Số dư đầu năm > Số đã cán trừTriệu VND,Số dư đầu năm > Số đã nộpTriệu VND,Số dư cuối năm > Nộp thừaTriệu VND,Số dư cuối năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Phải trảTriệu VND,numeric__Số dư đầu năm > Số phát sinhTriệu VND,numeric__Số dư đầu năm > Số đã cán trừTriệu VND,numeric__Số dư đầu năm > Số đã nộpTriệu VND,numeric__Số dư cuối năm > Nộp thừaTriệu VND,numeric__Số dư cuối năm > Phải trảTriệu VND
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,111.599,166.538,-,(341.547),(65.284),1.874,111599.0,166538.0,,-341547.0,-65284.0,1874.0
Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,10.284,74.869,(287),(74.621),-,10.245,10284.0,74869.0,-287.0,-74621.0,,10245.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,8.233,77.436,-,(69.149),-,16.520,8233.0,77436.0,,-69149.0,,16520.0
Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,-,14.320,-,(14.320),-,-,,14320.0,,-14320.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,5.822,-,(5.822),-,-,,5822.0,,-5822.0,,
,,,130.116,338.985,(287),(505.459),(65.284),28.639,130116.0,338985.0,-287.0,-505459.0,-65284.0,28639.0
2017,2017,2017,,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,Số dư cuối năm,,,,,,
2017,2017,2017,,Nộp thừaTriệu VND,Phải trảTriệu VND,Số phát sinhTriệu VND,Số đã nộpTriệu VND,Phải trảTriệu VND,,,,,,
Thuế thu nhập doanh nghiệp,2017 > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,,(51.472),842,194.749,(32.520),111.599,,-51472.0,842.0,194749.0,-32520.0,111599.0
Thuế giá trị gia tăng phải trả,2017 > Thuế giá trị gia tăng phải trả,Thuế giá trị gia tăng phải trả,,-,9.618,68.516,(67.850),10.284,,,9618.0,68516.0,-67850.0,10284.0
Thuế thu nhập cá nhân,2017 > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,,-,6.294,56.262,(54.323),8.233,,,6294.0,56262.0,-54323.0,8233.0
Thuế nhà thầu nước ngoài,2017 > Thuế nhà thầu nước ngoài,Thuế nhà thầu nước ngoài,,-,-,14.320,(14.320),-,,,,14320.0,-14320.0,
Các loại thuế khác,2017 > Các loại thuế khác,Các loại thuế khác,,-,-,5.822,(5.822),-,,,,5822.0,-5822.0,
,,,,(51.472),16.754,339.669,(174.835),130.116,,-51472.0,16754.0,339669.0,-174835.0,130116.0
