row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2017,Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Quá hạnTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Khôngchịu lãiTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Dưới1 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ 1 đến3 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 3đến 6 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 6đến 12 thángTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Từ trên 1đến 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > Trên 5 nămTriệu VND,numeric__Tại ngày 31 tháng 12 năm 2017 > TổngTriệu VND
Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,Tài sản,,,,,,,,,
"Tiền mặt, vàng","Tài sản > Tiền mặt, vàng","Tiền mặt, vàng",-,2.282.200,-,-,-,-,-,-,2.282.200,,2282200.0,,,,,,,2282200.0
Tiền gửi tại NHNNVN,Tài sản > Tiền gửi tại NHNNVN,Tiền gửi tại NHNNVN,-,-,3.277.007,-,-,-,-,-,3.277.007,,,3277007.0,,,,,,3277007.0
Tiền gửi và cho vay các tổ chứctín dụng khác,Tài sản > Tiền gửi và cho vay các tổ chứctín dụng khác,Tiền gửi và cho vay các tổ chứctín dụng khác,-,-,15.018.724,227.160,-,-,-,-,15.245.884,,,15018724.0,227160.0,,,,,15245884.0
Công cụ tài chính phải sinh và cáctài sản tài chính khác,Tài sản > Công cụ tài chính phải sinh và cáctài sản tài chính khác,Công cụ tài chính phải sinh và cáctài sản tài chính khác,-,30.274,-,-,-,-,-,-,30.274,,30274.0,,,,,,,30274.0
Cho vay khách hàng – gộp (*),Tài sản > Cho vay khách hàng – gộp (*),Cho vay khách hàng – gộp (*),2.746.223,-,38.983.047,19.445.810,21.321.833,16.332.547,2.447.833,47.035,101.324.328,2746223.0,,38983047.0,19445810.0,21321833.0,16332547.0,2447833.0,47035.0,101324328.0
Chứng khoán đầu tư – gộp,Tài sản > Chứng khoán đầu tư – gộp,Chứng khoán đầu tư – gộp,-,6.024.398,5.000.000,50.342,151.228,3.177.457,6.996.505,124.760,21.524.690,,6024398.0,5000000.0,50342.0,151228.0,3177457.0,6996505.0,124760.0,21524690.0
"Gớp vốn, đầu tư dài hạn – gộp","Tài sản > Gớp vốn, đầu tư dài hạn – gộp","Gớp vốn, đầu tư dài hạn – gộp",-,1.480.063,-,-,-,-,-,-,1.480.063,,1480063.0,,,,,,,1480063.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,3.214.194,-,-,-,-,-,-,3.214.194,,3214194.0,,,,,,,3214194.0
Tài sản Có khác – gộp,Tài sản > Tài sản Có khác – gộp,Tài sản Có khác – gộp,6.031,3.654.380,-,-,-,-,-,-,3.660.411,6031.0,3654380.0,,,,,,,3660411.0
