row_label_raw,row_label_full,col_0,col_1,Thuyết minh,31/12/2018 Triệu VND,31/12/2017 Triệu VND,numeric__col_1,numeric__Thuyết minh,numeric__31/12/2018 Triệu VND,numeric__31/12/2017 Triệu VND
B,B,B,NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU NỘ PHẢI TRẢ,,,,,,,
I,B > I,I,Các khoản nợ Ngân hàng Nhà nước Việt Nam,16,49.327,55.717,,16.0,49327.0,55717.0
II,B > II,II,Tiền gửi và vay các tổ chức tín dụng khác,17,16.011.064,11.256.430,,17.0,16011064.0,11256430.0
1,B > 1,1,Tiền gửi của các tổ chức tín dụng khác,,10.571.394,7.697.240,,,10571394.0,7697240.0
2,B > 2,2,Vay các tổ chức tín dụng khác,,5.439.670,3.559.190,,,5439670.0,3559190.0
III,B > III,III,Tiền gửi của khách hàng,18,118.693.869,117.539.696,,18.0,118693869.0,117539696.0
IV,B > IV,IV,Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,8,59.258,-,,8.0,59258.0,
VI,B > VI,VI,Phát hành giấy tờ có giá,,-,3.000.000,,,,3000000.0
VII,B > VII,VII,Các khoản nợ khác,19,2.955.011,3.266.530,,19.0,2955011.0,3266530.0
1,B > 1,1,"Các khoản lãi, phí phải trả",,2.190.807,2.153.139,,,2190807.0,2153139.0
3,B > 3,3,Các khoản phải trả và công nợ khác,,675.414,1.113.391,,,675414.0,1113391.0
4,B > 4,4,Dự phòng rủi ro khác,,88.790,-,,,88790.0,
,,,TỔNG NỘ PHẢI TRẢ,,137.768.529,135.118.373,,,137768529.0,135118373.0
,,,VỐN CHỦ SỞ HỮU,,,,,,,
VIII,B > VIII,VIII,Vốn chủ sở hữu,21,14.883.534,14.251.181,,21.0,14883534.0,14251181.0
1,B > 1,1,Vốn,,12.448.674,12.448.674,,,12448674.0,12448674.0
a,B > a,a,Vốn điều lệ,,12.355.229,12.355.229,,,12355229.0,12355229.0
b,B > b,b,"Vốn đầu tư xây dựng cơ bản, mua sắm tài sản cố định",,15.396,15.396,,,15396.0,15396.0
c,B > c,c,Thặng dư vốn cổ phần,,156.322,156.322,,,156322.0,156322.0
d,B > d,d,Cổ phiếu quỹ,,(78.273),(78.273),,,-78273.0,-78273.0
2,B > 2,2,Các quỹ,,1.685.786,1.587.009,,,1685786.0,1587009.0
5,B > 5,5,Lợi nhuận chưa phân phối,,749.074,215.498,,,749074.0,215498.0
,,,TỔNG VỐN CHỦ SỞ HỮU,,14.883.534,14.251.181,,,14883534.0,14251181.0
,,,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,152.652.063,149.369.554,,,152652063.0,149369554.0
