row_label_raw,row_label_full,2017,"Nhà cửa, vật kiến trúc Triệu VND",Máy móc thiết bị Triệu VND,Phương tiện vận chuyển Triệu VND,Thiết bị văn phòng Triệu VND,Tài sản cố định khác Triệu VND,Tổng Triệu VND,"numeric__Nhà cửa, vật kiến trúc Triệu VND",numeric__Máy móc thiết bị Triệu VND,numeric__Phương tiện vận chuyển Triệu VND,numeric__Thiết bị văn phòng Triệu VND,numeric__Tài sản cố định khác Triệu VND,numeric__Tổng Triệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,464.864,610.223,232.196,46.165,581.640,1.935.088,464864.0,610223.0,232196.0,46165.0,581640.0,1935088.0
Chuyển từ chi phí xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ chi phí xây dựng cơ bản dở dang,Chuyển từ chi phí xây dựng cơ bản dở dang,963,58.815,829,773,5.707,67.087,963.0,58815.0,829.0,773.0,5707.0,67087.0
Chuyển từ tài sản Có khác,Nguyên giá > Chuyển từ tài sản Có khác,Chuyển từ tài sản Có khác,499,-,-,-,-,499,499.0,,,,,499.0
Phân loại lại,Nguyên giá > Phân loại lại,Phân loại lại,(2.858),(646),(983),-,4.487,-,-2858.0,-646.0,-983.0,,4487.0,
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,(22.836),(3.102),(15.832),(606),(275),(42.651),-22836.0,-3102.0,-15832.0,-606.0,-275.0,-42651.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,440.632,665.290,216.210,46.332,591.559,1.960.023,440632.0,665290.0,216210.0,46332.0,591559.0,1960023.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,52.626,413.382,175.031,35.715,403.836,1.080.590,52626.0,413382.0,175031.0,35715.0,403836.0,1080590.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,10.917,48.725,19.788,3.286,41.875,124.591,10917.0,48725.0,19788.0,3286.0,41875.0,124591.0
Phân loại lại,Giá trị hao mòn lũy kế > Phân loại lại,Phân loại lại,(582),(335),(196),-,1.113,-,-582.0,-335.0,-196.0,,1113.0,
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,(10.513),(3.102),(15.832),(606),(275),(30.328),-10513.0,-3102.0,-15832.0,-606.0,-275.0,-30328.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,52.448,458.670,178.791,38.395,446.549,1.174.853,52448.0,458670.0,178791.0,38395.0,446549.0,1174853.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,412.238,196.841,57.165,10.450,177.804,854.498,412238.0,196841.0,57165.0,10450.0,177804.0,854498.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,388.184,206.620,37.419,7.937,145.010,785.170,388184.0,206620.0,37419.0,7937.0,145010.0,785170.0
