row_label_raw,row_label_full,col_0,NGUỒN VỐN,Mã số,Thuyết minh,Số cuối năm,Số đầu năm,numeric__NGUỒN VỐN,numeric__Mã số,numeric__Thuyết minh,numeric__Số cuối năm,numeric__Số đầu năm
C.,C.,C.,NỘ PHẢI TRẢ,300,,45.085.815.154.293,38.419.048.076.311,,300.0,,45085815154293.0,38419048076311.0
I.,I.,I.,Nợ ngắn hạn,310,,26.678.316.967.965,28.284.447.511.428,,310.0,,26678316967965.0,28284447511428.0
1.,1.,1.,Phải trả người bán ngắn hạn,311,17,13.554.470.420.295,13.255.540.481.809,,311.0,17.0,13554470420295.0,13255540481809.0
2.,2.,2.,Người mua trả tiền trước ngắn hạn,312,18,12.110.615.053,85.950.238.684,,312.0,18.0,12110615053.0,85950238684.0
3.,3.,3.,Thuế và các khoản phải nộp Nhà nước,313,19,11.609.960.458,11.523.394.632,,313.0,19.0,11609960458.0,11523394632.0
4.,4.,4.,Phải trả người lao động,314,,355.501.098.204,247.844.404.243,,314.0,,355501098204.0,247844404243.0
5.,5.,5.,Chi phí phải trả ngắn hạn,315,20,933.014.801.603,372.800.124.347,,315.0,20.0,933014801603.0,372800124347.0
6.,6.,6.,Doanh thu chưa thực hiện ngắn hạn,318,,4.802.191.782,-,,318.0,,4802191782.0,
7.,7.,7.,Phải trả ngắn hạn khác,319,21,1.015.442.272.099,1.440.736.787.986,,319.0,21.0,1015442272099.0,1440736787986.0
8.,8.,8.,Vay và nợ thuê tài chính ngắn hạn,320,22,9.201.701.166.584,12.192.923.664.847,,320.0,22.0,9201701166584.0,12192923664847.0
9.,9.,9.,Dự phòng phải trả ngắn hạn,321,24,1.472.054.420.133,553.193.180.684,,321.0,24.0,1472054420133.0,553193180684.0
10.,10.,10.,"Quỹ khen thưởng, phúc lợi",322,,117.610.021.754,123.935.234.196,,322.0,,117610021754.0,123935234196.0
II.,II.,II.,Nợ dài hạn,330,,18.407.498.186.328,10.134.600.564.883,,330.0,,18407498186328.0,10134600564883.0
1.,1.,1.,Phải trả dài hạn khác,337,,28.155.441,28.155.441,,337.0,,28155441.0,28155441.0
2.,2.,2.,Vay và nợ thuê tài chính dài hạn,338,22,16.263.781.302.907,7.513.760.079.014,,338.0,22.0,16263781302907.0,7513760079014.0
3.,3.,3.,Dự phòng phải trả dài hạn,342,24,2.033.300.483.254,2.506.592.715.754,,342.0,24.0,2033300483254.0,2506592715754.0
4.,4.,4.,Quỹ phát triển khoa học và công nghệ,343,,110.388.244.726,114.219.614.674,,343.0,,110388244726.0,114219614674.0
D.,D.,D.,VỐN CHỦ SỞ HỮU,400,,31.234.760.356.668,29.721.094.883.244,,400.0,,31234760356668.0,29721094883244.0
I.,I.,I.,Vốn chủ sở hữu,410,25,31.234.760.356.668,29.721.094.883.244,,410.0,25.0,31234760356668.0,29721094883244.0
1.,1.,1.,Vốn góp của chủ sở hữu,411,,27.868.210.960.000,23.418.716.000.000,,411.0,,27868210960000.0,23418716000000.0
,,,- Cổ phiếu phổ thông có quyền biểu quyết,411a,,27.868.210.960.000,23.418.716.000.000,,,,27868210960000.0,23418716000000.0
2.,2.,2.,Quỹ đầu tư phát triển,418,,993.667.089.799,4.144.286.326.882,,418.0,,993667089799.0,4144286326882.0
3.,3.,3.,Lợi nhuận sau thuế chưa phân phối,421,,2.372.882.306.869,2.158.092.556.362,,421.0,,2372882306869.0,2158092556362.0
,,,- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,421a,,688.891.898.941,950.919.879.971,,,,688891898941.0,950919879971.0
,,,- Lợi nhuận sau thuế chưa phân phối năm nay,421b,,1.683.990.407.928,1.207.172.676.391,,,,1683990407928.0,1207172676391.0
,,,TỔNG CỘNG NGUỒN VỐN (440=300+400),440,,76.320.575.510.961,68.140.142.959.555,,440.0,,76320575510961.0,68140142959555.0
Lê Thúy Hằng Người lập,Lê Thúy Hằng Người lập,Lê Thúy Hằng Người lập,Lê Thúy Hằng Người lập,Chu Quang Toàn Kế toán trưởng,Chu Quang Toàn Kế toán trưởng,Lê Như Lĩnh Tổng Giám đốc,Lê Như Lĩnh Tổng Giám đốc,,,,,
