row_label_raw,row_label_full,col_0,Số cuối năm,Số đầu năm,numeric__Số cuối năm,numeric__Số đầu năm
,,,VND,VND,,
a. Trả trước cho người bán ngắn hạn,a. Trả trước cho người bán ngắn hạn,a. Trả trước cho người bán ngắn hạn,351.290.533.204,257.399.847.311,351290533204.0,257399847311.0
Công ty Cổ phần Tổng Công Ty Tín Nghĩa,Công ty Cổ phần Tổng Công Ty Tín Nghĩa,Công ty Cổ phần Tổng Công Ty Tín Nghĩa,154.000.000.000,122.000.000.000,154000000000.0,122000000000.0
GE Global Parts & Products GmbH,GE Global Parts & Products GmbH,GE Global Parts & Products GmbH,66.844.305.081,-,66844305081.0,
Siemens Energy Global GmbH & Co. KG,Siemens Energy Global GmbH & Co. KG,Siemens Energy Global GmbH & Co. KG,52.140.967.152,-,52140967152.0,
Công ty TNHH Siemens Energy,Công ty TNHH Siemens Energy,Công ty TNHH Siemens Energy,15.556.447.034,-,15556447034.0,
Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,Tổng Công ty Lắp máy Việt Nam - CTCP,-,22.086.827.297,,22086827297.0
Các đối tượng khác,Các đối tượng khác,Các đối tượng khác,62.748.813.937,113.313.020.014,62748813937.0,113313020014.0
b. Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 37),b. Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 37),b. Trả trước cho người bán là các bên liên quan(Chỉ tiết tại Thuyết minh số 37),7.349.286.406,2.593.898.702,7349286406.0,2593898702.0
,,,358.639.819.610,259.993.746.013,358639819610.0,259993746013.0
