row_label_raw,row_label_full,col_0,Số đầu nămVND,Số phải nộptrong nămVND,Số đã nộptrong nămVND,Số cuối nămVND,numeric__Số đầu nămVND,numeric__Số phải nộptrong nămVND,numeric__Số đã nộptrong nămVND,numeric__Số cuối nămVND
a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,a. Các khoản phải thu,,,,
Thuế thu nhập doanh nghiệp,a. Các khoản phải thu > Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,18.101.690.974,53.428.226.605,84.079.095.113,48.752.559.482,18101690974.0,53428226605.0,84079095113.0,48752559482.0
Các loại thuế khác,a. Các khoản phải thu > Các loại thuế khác,Các loại thuế khác,54,54,26.551.226,26.551.226,54.0,54.0,26551226.0,26551226.0
,,,18.101.691.028,53.428.226.659,84.105.646.339,48.779.110.708,18101691028.0,53428226659.0,84105646339.0,48779110708.0
b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,b. Các khoản phải trả,,,,
Thuế giá trị gia tăng,b. Các khoản phải trả > Thuế giá trị gia tăng,Thuế giá trị gia tăng,-,228.461.855.105,228.461.855.105,-,,228461855105.0,228461855105.0,
Thuế xuất nhập khẩu,b. Các khoản phải trả > Thuế xuất nhập khẩu,Thuế xuất nhập khẩu,-,6.726.346.659,6.726.346.659,-,,6726346659.0,6726346659.0,
Thuế thu nhập cá nhân,b. Các khoản phải trả > Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,9.843.411.938,76.536.989.677,78.504.374.166,7.876.027.449,9843411938.0,76536989677.0,78504374166.0,7876027449.0
Thuế tài nguyên,b. Các khoản phải trả > Thuế tài nguyên,Thuế tài nguyên,1.006.501.530,18.337.436.510,17.683.712.060,1.660.225.980,1006501530.0,18337436510.0,17683712060.0,1660225980.0
Các loại thuế khác,b. Các khoản phải trả > Các loại thuế khác,Các loại thuế khác,673.481.164,217.840.048.505,216.439.822.640,2.073.707.029,673481164.0,217840048505.0,216439822640.0,2073707029.0
,,,11.523.394.632,547.902.676.456,547.816.110.630,11.609.960.458,11523394632.0,547902676456.0,547816110630.0,11609960458.0
