row_label_raw,row_label_full,col_0,Số cuối năm > Giá gốc,Số cuối năm > Giá trị hợp lý,Số cuối năm > VND Dự phòng,Số đầu năm > Giá gốc,Số đầu năm > Giá trị hợp lý,Số đầu năm > VND Dự phòng,numeric__Số cuối năm > Giá gốc,numeric__Số cuối năm > Giá trị hợp lý,numeric__Số cuối năm > VND Dự phòng,numeric__Số đầu năm > Giá gốc,numeric__Số đầu năm > Giá trị hợp lý,numeric__Số đầu năm > VND Dự phòng
b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,b1. Đầu tư vào công ty con,,,,,,
Công ty Cổ phần Thủy điện Hùa Na (i),b1. Đầu tư vào công ty con > Công ty Cổ phần Thủy điện Hùa Na (i),Công ty Cổ phần Thủy điện Hùa Na (i),1.898.727.600.000,4.082.264.340.000,-,1.898.727.600.000,5.069.602.692.000,-,1898727600000.0,4082264340000.0,,1898727600000.0,5069602692000.0,
Công ty Cổ phần Điện lực Dầu khí,b1. Đầu tư vào công ty con > Công ty Cổ phần Điện lực Dầu khí,Công ty Cổ phần Điện lực Dầu khí,1.883.540.039.397,4.162.050.048.000,-,1.883.540.039.397,3.709.095.936.000,-,1883540039397.0,4162050048000.0,,1883540039397.0,3709095936000.0,
Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),Nhơn Trạch 2 (i) (iv),,,,,,
Công ty Cổ phần Thủy điện Đakdrinh,Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Thủy điện Đakdrinh,Công ty Cổ phần Thủy điện Đakdrinh,1.105.110.800.000,(iii),-,1.105.110.800.000,(iii),-,1105110800000.0,,,1105110800000.0,,
Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,Công ty Cổ phần Năng lượng tái tạo Điện lực Dầu khí,137.700.000.000,(iii),(7.696.139.515),137.700.000.000,(iii),(18.249.664.617),137700000000.0,,-7696139515.0,137700000000.0,,-18249664617.0
Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),Nhơn Trạch 2 (i) (iv) > Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam (i),76.500.000.000,78.030.000.000,-,76.500.000.000,92.565.000.000,-,76500000000.0,78030000000.0,,76500000000.0,92565000000.0,
,,,5.101.578.439.397,,(7.696.139.515),5.101.578.439.397,,(18.249.664.617),5101578439397.0,,-7696139515.0,5101578439397.0,,-18249664617.0
b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,b2. Đầu tư vào công ty liên kết,,,,,,
Công ty Cổ phần Năng lượng Sông Hồng,b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Năng lượng Sông Hồng,Công ty Cổ phần Năng lượng Sông Hồng,32.887.500.000,(iii),-,32.887.500.000,(iii),-,32887500000.0,,,32887500000.0,,
Công ty Cổ phần Điện khí LNG Quảng Ninh,b2. Đầu tư vào công ty liên kết > Công ty Cổ phần Điện khí LNG Quảng Ninh,Công ty Cổ phần Điện khí LNG Quảng Ninh,108.000.000.000,(iii),(4.636.304.230),30.000.000.000,(iii),(3.974.681.734),108000000000.0,,-4636304230.0,30000000000.0,,-3974681734.0
,,,140.887.500.000,,(4.636.304.230),62.887.500.000,,(3.974.681.734),140887500000.0,,-4636304230.0,62887500000.0,,-3974681734.0
b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,b3. Đầu tư góp vốn vào đơn vị khác,,,,,,
Công ty Cổ phần Điện Việt Lào,b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Điện Việt Lào,Công ty Cổ phần Điện Việt Lào,317.549.656.500,(iii),-,317.549.656.500,(iii),-,317549656500.0,,,317549656500.0,,
Công ty Cổ phần Thủy điện Nậm Chiến,b3. Đầu tư góp vốn vào đơn vị khác > Công ty Cổ phần Thủy điện Nậm Chiến,Công ty Cổ phần Thủy điện Nậm Chiến,302.295.301.000,(iii),-,302.295.301.000,(iii),-,302295301000.0,,,302295301000.0,,
