row_label_raw,row_label_full,col_0,Nhà cửa và vật kiến trúc,Máy móc và thiết bị,Phương tiện vận tải,Thiết bị văn phòng,Tài sản cố định hữu hình khác,Tổng,numeric__Nhà cửa và vật kiến trúc,numeric__Máy móc và thiết bị,numeric__Phương tiện vận tải,numeric__Thiết bị văn phòng,numeric__Tài sản cố định hữu hình khác,numeric__Tổng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số đầu năm,NGUYÊN GIÁ > Số đầu năm,Số đầu năm,6.399.293.619.060,38.300.996.554.184,262.409.737.026,209.854.133.203,2.137.403.204.038,47.309.957.247.511,6399293619060.0,38300996554184.0,262409737026.0,209854133203.0,2137403204038.0,47309957247511.0
Mua sắm mới,NGUYÊN GIÁ > Mua sắm mới,Mua sắm mới,-,59.901.410.472,13.091.867.446,22.122.438.732,1.710.909.091,96.826.625.741,,59901410472.0,13091867446.0,22122438732.0,1710909091.0,96826625741.0
Tăng do nâng cấp,NGUYÊN GIÁ > Tăng do nâng cấp,Tăng do nâng cấp,-,123.467.809.431,-,-,-,123.467.809.431,,123467809431.0,,,,123467809431.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,2.798.658.557.389,21.222.560.159.677,-,-,-,24.021.218.717.066,2798658557389.0,21222560159677.0,,,,24021218717066.0
"Thanh lý, nhượng bán","NGUYÊN GIÁ > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(2.412.461.628),(9.222.875.709),(3.805.948.688),-,(15.441.286.025),,-2412461628.0,-9222875709.0,-3805948688.0,,-15441286025.0
Tăng/(Giám) khác,NGUYÊN GIÁ > Tăng/(Giám) khác,Tăng/(Giám) khác,-,7.417.985.035,-,(512.170.000),(105.450.000),6.800.365.035,,7417985035.0,,-512170000.0,-105450000.0,6800365035.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,9.197.952.176.449,59.711.931.457.171,266.278.728.763,227.658.453.247,2.139.008.663.129,71.542.829.478.759,9197952176449.0,59711931457171.0,266278728763.0,227658453247.0,2139008663129.0,71542829478759.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số đầu năm,Số đầu năm,3.421.029.604.719,26.246.744.478.326,221.405.488.591,162.943.626.535,802.970.308.675,30.855.093.506.846,3421029604719.0,26246744478326.0,221405488591.0,162943626535.0,802970308675.0,30855093506846.0
Trích khấu hao vào chi phí trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Trích khấu hao vào chi phí trong năm,Trích khấu hao vào chi phí trong năm,271.253.380.503,1.347.288.629.159,8.337.792.067,16.441.073.655,89.599.315.837,1.732.920.191.221,271253380503.0,1347288629159.0,8337792067.0,16441073655.0,89599315837.0,1732920191221.0
