row_label_raw,row_label_full,col_0,Nhà cửa VND,Dụng cụ văn phòng VND,Máy móc và thiết bị VND,Phương tiện vận chuyển VND,Tổng cộng VND,numeric__Nhà cửa VND,numeric__Dụng cụ văn phòng VND,numeric__Máy móc và thiết bị VND,numeric__Phương tiện vận chuyển VND,numeric__Tổng cộng VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,149.292.361.216,1.497.492.429,6.420.496.972,260.211.473.451,417.421.824.068,149292361216.0,1497492429.0,6420496972.0,260211473451.0,417421824068.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,6.210.749.091,-,1.186.430.000,645.000.000,8.042.179.091,6210749091.0,,1186430000.0,645000000.0,8042179091.0
Chuyển từ xây dựng cơ bản dở dang,Nguyên giá > Chuyển từ xây dựng cơ bản dở dang,Chuyển từ xây dựng cơ bản dở dang,-,-,-,7.308.498.182,7.308.498.182,,,,7308498182.0,7308498182.0
Thanh lý,Nguyên giá > Thanh lý,Thanh lý,-,-,-,(26.895.508.663),(26.895.508.663),,,,-26895508663.0,-26895508663.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,155.503.110.307,1.497.492.429,7.606.926.972,241.269.462.970,405.876.992.678,155503110307.0,1497492429.0,7606926972.0,241269462970.0,405876992678.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,94.508.087.512,1.277.824.963,4.029.228.611,152.011.260.107,251.826.401.193,94508087512.0,1277824963.0,4029228611.0,152011260107.0,251826401193.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,13.565.423.189,128.128.414,701.408.357,15.351.788.087,29.746.748.047,13565423189.0,128128414.0,701408357.0,15351788087.0,29746748047.0
Thanh lý,Giá trị hao mòn lũy kế > Thanh lý,Thanh lý,-,-,-,(10.994.954.714),(10.994.954.714),,,,-10994954714.0,-10994954714.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,108.073.510.701,1.405.953.377,4.730.636.968,156.368.093.480,270.578.194.526,108073510701.0,1405953377.0,4730636968.0,156368093480.0,270578194526.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,54.784.273.704,219.667.466,2.391.268.361,108.200.213.344,165.595.422.875,54784273704.0,219667466.0,2391268361.0,108200213344.0,165595422875.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,47.429.599.606,91.539.052,2.876.290.004,84.901.369.490,135.298.798.152,47429599606.0,91539052.0,2876290004.0,84901369490.0,135298798152.0
