row_label_raw,row_label_full,col_0,Địa chỉ,Số lượng cổ phiếu,31/12/2015 % quyền biểu quyết > % sở hữu,31/12/2015 % quyền biểu quyết > quyết,Giá gốc (*) VND,Số lượng cổ phiếu_1,% sở hữu,1/1/2015 % quyền biểu quyết,Giá gốc (*) VND_1,numeric__Địa chỉ,numeric__Số lượng cổ phiếu,numeric__31/12/2015 % quyền biểu quyết > % sở hữu,numeric__31/12/2015 % quyền biểu quyết > quyết,numeric__Giá gốc (*) VND,numeric__Số lượng cổ phiếu_1,numeric__% sở hữu,numeric__1/1/2015 % quyền biểu quyết,numeric__Giá gốc (*) VND_1
Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,Đầu tư góp vốn vào:,,,,,,,,,
Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,Công ty con,,,,,,,,,
▪ Công ty TNHH Một thành viên Vận tải biểnNgôi sao Xanh,Công ty con > ▪ Công ty TNHH Một thành viên Vận tải biểnNgôi sao Xanh,▪ Công ty TNHH Một thành viên Vận tải biểnNgôi sao Xanh,Hải Phòng,,100%,100%,15.000.000.000,,100%,100%,15.000.000.000,,,1.0,1.0,15000000000.0,,1.0,1.0,15000000000.0
▪ Công ty Cổ phần Container Miền Trung (i),Công ty con > ▪ Công ty Cổ phần Container Miền Trung (i),▪ Công ty Cổ phần Container Miền Trung (i),Đà Nẵng,1.982.500,65%,65%,19.825.000.000,,100%,100%,6.000.000.000,,1982500.0,0.65,0.65,19825000000.0,,1.0,1.0,6000000000.0
▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Công ty con > ▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Thành phố,,100%,100%,6.000.000.000,,100%,100%,6.000.000.000,,,1.0,1.0,6000000000.0,,1.0,1.0,6000000000.0
▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Hồ Chí Minh,,,,,,,,,,,,,,,,,
▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh,Thành phố,,,,,,,,,,,,,,,,,
▪ Công ty TNHH Tuyến T.S (ii),▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh > ▪ Công ty TNHH Tuyến T.S (ii),▪ Công ty TNHH Tuyến T.S (ii),Hồ Chí Minh,,100%,100%,200.000.000,,100%,100%,200.000.000,,,1.0,1.0,200000000.0,,1.0,1.0,200000000.0
▪ Công ty TNHH Một thành viên Trung tâm Logistic Xanh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh > ▪ Công ty TNHH Một thành viên Trung tâm Logistic Xanh,▪ Công ty TNHH Một thành viên Trung tâm Logistic Xanh,Hải Phòng,,100%,100%,90.000.000.000,,100%,100%,90.000.000.000,,,1.0,1.0,90000000000.0,,1.0,1.0,90000000000.0
▪ Công ty TNHH Một thành viên Bến Xanh,▪ Công ty TNHH Một thành viên Viconship Hồ Chí Minh > ▪ Công ty TNHH Một thành viên Bến Xanh,▪ Công ty TNHH Một thành viên Bến Xanh,Hải Phòng,,100%,100%,25.000.000.000,,100%,100%,25.000.000.000,,,1.0,1.0,25000000000.0,,1.0,1.0,25000000000.0
