row_label_raw,row_label_full,Đầu tư nấm giữ đến ngày đáo hạn - ngắn hạn,1/1/2015(phân loại lại)VND > 47.685.000.000,1/1/2015(theo báo cáotrước đây)VND > -,numeric__1/1/2015(phân loại lại)VND > 47.685.000.000,numeric__1/1/2015(theo báo cáotrước đây)VND > -
Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,Các khoản đầu tư tài chính ngắn hạn,-,47.685.000.000,,47685000000.0
Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,Quỹ đầu tư phát triển,434.598.341.042,406.528.068.031,434598341042.0,406528068031.0
Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,Quỹ dự phòng tài chính,-,28.070.273.011,,28070273011.0
