row_label_raw,row_label_full,col_0,Cổ phần phổ thông có quyền biểu quyếtTriệu VND,Thặng dư vốncổ phầnTriệu VND,Cổ phiếu quỹTriệu VND,Quỹ khác thuộcvốn chủ sở hữuTriệu VND,Lợi nhuận chưa phân phối/(lỗ lũy kế)Triệu VND,TổngTriệu VND,numeric__Cổ phần phổ thông có quyền biểu quyếtTriệu VND,numeric__Thặng dư vốncổ phầnTriệu VND,numeric__Cổ phiếu quỹTriệu VND,numeric__Quỹ khác thuộcvốn chủ sở hữuTriệu VND,numeric__Lợi nhuận chưa phân phối/(lỗ lũy kế)Triệu VND,numeric__TổngTriệu VND
Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,Số dư tại ngày 1 tháng 1 năm 2018,19.010.787,4.324.380,-,-,(260.010),23.075.157,19010787.0,4324380.0,,,-260010.0,23075157.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,1.227.589,1.227.589,,,,,1227589.0,1227589.0
Tăng vốn từ nguồn vốn chủ sở hữu,Tăng vốn từ nguồn vốn chủ sở hữu,Tăng vốn từ nguồn vốn chủ sở hữu,4.277.397,(4.277.397),-,-,-,-,4277397.0,-4277397.0,,,,
Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,Số dư tại ngày 1 tháng 1 năm 2019,23.288.184,46.983,-,-,967.579,24.302.746,23288184.0,46983.0,,,967579.0,24302746.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,4.102.673,4.102.673,,,,,4102673.0,4102673.0
Phân bổ vào các quỹ,Phân bổ vào các quỹ,Phân bổ vào các quỹ,-,-,-,5.000,(5.000),-,,,,5000.0,-5000.0,
Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,Mua lại cổ phiếu quỹ,-,-,(1.954.258),-,-,(1.954.258),,,-1954258.0,,,-1954258.0
Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),Cổ tức (Thuyết minh 27),-,-,-,-,(2.445.259),(2.445.259),,,,,-2445259.0,-2445259.0
Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,Số dư tại ngày 31 tháng 12 năm 2019,23.288.184,46.983,(1.954.258),5.000,2.619.993,24.005.902,23288184.0,46983.0,-1954258.0,5000.0,2619993.0,24005902.0
