row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,2019Triệu VND,2018Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__2019Triệu VND,numeric__2018Triệu VND
LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH,,,,
Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,Lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản,01,,4.381.348,1.388.761,1.0,,4381348.0,1388761.0
Khẩu hao và phân bổ,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Khẩu hao và phân bổ,Khẩu hao và phân bổ,02,,145.108,124.715,2.0,,145108.0,124715.0
Các khoản dự phòng,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Các khoản dự phòng,Các khoản dự phòng,03,,3.045,213,3.0,,3045.0,213.0
Lãi từ các hoạt động đầu tư,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lãi từ các hoạt động đầu tư,Lãi từ các hoạt động đầu tư,05,,(3.433.674),(1.337.538),5.0,,-3433674.0,-1337538.0
Chi phí lãi vay và phát hành trái phiếu,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Chi phí lãi vay và phát hành trái phiếu,Chi phí lãi vay và phát hành trái phiếu,06,,274.908,351.230,6.0,,274908.0,351230.0
Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,Lợi nhuận từ hoạt động kinh doanh trước những thay đổi vốn lưu động,08,,1.370.735,527.381,8.0,,1370735.0,527381.0
Biến động các khoản phải thu và tài sản khác,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phải thu và tài sản khác,Biến động các khoản phải thu và tài sản khác,09,,128.890,(121.104),9.0,,128890.0,-121104.0
Biến động hàng tồn kho,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động hàng tồn kho,Biến động hàng tồn kho,10,,(179.813),(396.040),10.0,,-179813.0,-396040.0
Biến động các khoản phases trả và nợ phải trả khác,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động các khoản phases trả và nợ phải trả khác,Biến động các khoản phases trả và nợ phải trả khác,11,,(371.750),1.259.550,11.0,,-371750.0,1259550.0
Biến động chủ phí trả trước,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Biến động chủ phí trả trước,Biến động chủ phí trả trước,12,,40.036,(77.909),12.0,,40036.0,-77909.0
,,,,,988.098,1.191.878,,,988098.0,1191878.0
Tiền lãi vay đã trả,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Tiền lãi vay đã trả,Tiền lãi vay đã trả,14,,(257.653),(360.206),14.0,,-257653.0,-360206.0
Thuế thu nhập doanh nghiệp đã nộp,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Thuế thu nhập doanh nghiệp đã nộp,Thuế thu nhập doanh nghiệp đã nộp,15,,(226.118),(172.216),15.0,,-226118.0,-172216.0
Lưu chuyển tiền thuần từ hoạt động kinh doanh,LUÙ CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH > Lưu chuyển tiền thuần từ hoạt động kinh doanh,Lưu chuyển tiền thuần từ hoạt động kinh doanh,20,,504.327,659.456,20.0,,504327.0,659456.0
