row_label_raw,row_label_full,Công ty TNHH Vincom Retail Miền Nam,31/12/2019Triệu VND > 32.713,1/1/2019Triệu VND > 28.954,numeric__31/12/2019Triệu VND > 32.713,numeric__1/1/2019Triệu VND > 28.954
Công ty TNHH Vincom Retail Miền Bắc,Công ty TNHH Vincom Retail Miền Bắc,Công ty TNHH Vincom Retail Miền Bắc,64.938,40.827,64938.0,40827.0
Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,Công ty Cổ phần Đầu tư và Phát triển Đô thị Suối Hoa,1.252,31.918,1252.0,31918.0
Phải thu từ một đối tác doanh nghiệp cho khoản thuê dài hạn,Phải thu từ một đối tác doanh nghiệp cho khoản thuê dài hạn,Phải thu từ một đối tác doanh nghiệp cho khoản thuê dài hạn,-,76.904,,76904.0
Các khách hàng khác,Các khách hàng khác,Các khách hàng khác,180.919,84.073,180919.0,84073.0
,,,279.822,262.676,279822.0,262676.0
