row_label_raw,row_label_full,col_0,Mã số,Thuyết minh,31/12/2019Triệu VND,1/1/2019Triệu VND,numeric__Mã số,numeric__Thuyết minh,numeric__31/12/2019Triệu VND,numeric__1/1/2019Triệu VND
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,,
Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),TÀI SẢN > Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),Tài sản ngắn hạn\( (100 = 110 + 120 + 130 + 140 + 150) \),100,,5.364.782,6.838.572,100.0,,5364782.0,6838572.0
Tiền và các khoản tương đương tiền,TÀI SẢN > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,110,4,1.197.520,2.051.375,110.0,4.0,1197520.0,2051375.0
Tiền,TÀI SẢN > Tiền,Tiền,111,,1.197.520,401.375,111.0,,1197520.0,401375.0
Các khoản tương đương tiền,TÀI SẢN > Các khoản tương đương tiền,Các khoản tương đương tiền,112,,-,1.650.000,112.0,,,1650000.0
Đầu tư tài chính ngắn hạn,TÀI SẢN > Đầu tư tài chính ngắn hạn,Đầu tư tài chính ngắn hạn,120,,700.000,600.000,120.0,,700000.0,600000.0
Đầu tư nằm giữ đến ngày đáo hạn,TÀI SẢN > Đầu tư nằm giữ đến ngày đáo hạn,Đầu tư nằm giữ đến ngày đáo hạn,123,5(c),700.000,600.000,123.0,,700000.0,600000.0
Các khoản phải thu ngắn hạn,TÀI SẢN > Các khoản phải thu ngắn hạn,Các khoản phải thu ngắn hạn,130,,1.398.011,1.520.935,130.0,,1398011.0,1520935.0
Phải thu ngắn hạn của khách hàng,TÀI SẢN > Phải thu ngắn hạn của khách hàng,Phải thu ngắn hạn của khách hàng,131,6,279.822,262.676,131.0,6.0,279822.0,262676.0
Trả trước cho người bán ngắn hạn,TÀI SẢN > Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,132,,54.606,164.344,132.0,,54606.0,164344.0
Phải thu về cho vay ngắn hạn,TÀI SẢN > Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,135,7(a),-,792.293,135.0,,,792293.0
Phải thu ngắn hạn khác,TÀI SẢN > Phải thu ngắn hạn khác,Phải thu ngắn hạn khác,136,8,1.064.460,301.667,136.0,8.0,1064460.0,301667.0
Dự phòng các khoản phải thu khó đòi,TÀI SẢN > Dự phòng các khoản phải thu khó đòi,Dự phòng các khoản phải thu khó đòi,137,9,(877),(45),137.0,9.0,-877.0,-45.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,140,10,952.143,772.330,140.0,10.0,952143.0,772330.0
Hàng tồn kho,TÀI SẢN > Hàng tồn kho,Hàng tồn kho,141,,952.143,772.330,141.0,,952143.0,772330.0
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,150,,1.117.108,1.893.932,150.0,,1117108.0,1893932.0
Chi phí trả trước ngắn hạn,TÀI SẢN > Chi phí trả trước ngắn hạn,Chi phí trả trước ngắn hạn,151,16(a),51.225,110.932,151.0,,51225.0,110932.0
Thuế giá trị gia tăng được khấu trừ,TÀI SẢN > Thuế giá trị gia tăng được khấu trừ,Thuế giá trị gia tăng được khấu trừ,152,,650,-,152.0,,650.0,
Thuế và các khoản phải thu Nhà nước,TÀI SẢN > Thuế và các khoản phải thu Nhà nước,Thuế và các khoản phải thu Nhà nước,153,,233,-,153.0,,233.0,
Tài sản ngắn hạn khác,TÀI SẢN > Tài sản ngắn hạn khác,Tài sản ngắn hạn khác,155,11,1.065.000,1.783.000,155.0,11.0,1065000.0,1783000.0
