row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúcTriệu VND",Máy mócvà thiết bịTriệu VND,Thiết bịvăn phòngTriệu VND,TổngTriệu VND,"numeric__Nhà cửa,vật kiến trúcTriệu VND",numeric__Máy mócvà thiết bịTriệu VND,numeric__Thiết bịvăn phòngTriệu VND,numeric__TổngTriệu VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,226,4.036,826,5.088,226.0,4036.0,826.0,5088.0
Tăng trong năm,Nguyên giá > Tăng trong năm,Tăng trong năm,-,6.084,1.920,8.004,,6084.0,1920.0,8004.0
Chuyển sang chi phí trả trướcngắn hạn,Nguyên giá > Chuyển sang chi phí trả trướcngắn hạn,Chuyển sang chi phí trả trướcngắn hạn,-,(38),-,(38),,-38.0,,-38.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,226,10.082,2.746,13.054,226.0,10082.0,2746.0,13054.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,139,933,330,1.402,139.0,933.0,330.0,1402.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,45,1.157,190,1.392,45.0,1157.0,190.0,1392.0
Chuyển sang chi phí trả trướcngắn hạn,Giá trị hao mòn lũy kế > Chuyển sang chi phí trả trướcngắn hạn,Chuyển sang chi phí trả trướcngắn hạn,-,(4),-,(4),,-4.0,,-4.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,184,2.086,520,2.790,184.0,2086.0,520.0,2790.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,87,3.103,496,3.686,87.0,3103.0,496.0,3686.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,42,7.996,2.226,10.264,42.0,7996.0,2226.0,10264.0
