row_label_raw,row_label_full,Thuế giá trị gia tăng,1/1/2019Triệu VND > 5.614,Số phải nộp trong nămTriệu VND > 341.855,Số đã nộp trong nămTriệu VND > (121.778),Chuyển/(cấn trừ)Triệu VND > (225.691),31/12/2019Triệu VND > -,numeric__1/1/2019Triệu VND > 5.614,numeric__Số phải nộp trong nămTriệu VND > 341.855,numeric__Số đã nộp trong nămTriệu VND > (121.778),numeric__Chuyển/(cấn trừ)Triệu VND > (225.691),numeric__31/12/2019Triệu VND > -
Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,Thuế thu nhập doanh nghiệp,26.049,278.675,(226.118),(3.419),75.187,26049.0,278675.0,-226118.0,-3419.0,75187.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,1.954,52.402,(50.673),-,3.683,1954.0,52402.0,-50673.0,,3683.0
Tiền thuê đất và tiền sử dụng đất,Tiền thuê đất và tiền sử dụng đất,Tiền thuê đất và tiền sử dụng đất,61.997,959.412,(1.021.409),-,-,61997.0,959412.0,-1021409.0,,
Các loại thuế khác,Các loại thuế khác,Các loại thuế khác,-,305,(538),233,-,,305.0,-538.0,233.0,
,,,95.614,1.632.649,(1.420.516),(228.877),78.870,95614.0,1632649.0,-1420516.0,-228877.0,78870.0
