row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu,Thặng dư vốn cổ phần,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn góp của chủ sở hữu,numeric__Thặng dư vốn cổ phần,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,,,,,
Số dư đầu năm trước,Số dư đầu năm trước,Số dư đầu năm trước,3.815.899.110.000,70.877.131.506,903.345.539.128,313.507.328.382,5.103.629.109.016,3815899110000.0,70877131506.0,903345539128.0,313507328382.0,5103629109016.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,17.673.416.671,17.673.416.671,,,,17673416671.0,17673416671.0
"Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi","Trích lập Quỹ khen thưởng, phúc lợi",-,-,-,(145.039.750.000),(145.039.750.000),,,,-145039750000.0,-145039750000.0
Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,Trích lập Quỹ đầu tư phát triển,-,-,15.000.000.000,(15.000.000.000),-,,,15000000000.0,-15000000000.0,
Chỉ cổ tức bằng tiền,Chỉ cổ tức bằng tiền,Chỉ cổ tức bằng tiền,-,-,-,(152.635.964.400),(152.635.964.400),,,,-152635964400.0,-152635964400.0
Số dư đầu năm nay,Số dư đầu năm nay,Số dư đầu năm nay,3.815.899.110.000,70.877.131.506,918.345.539.128,18.505.030.653,4.823.626.811.287,3815899110000.0,70877131506.0,918345539128.0,18505030653.0,4823626811287.0
Lợi nhuận trong năm,Lợi nhuận trong năm,Lợi nhuận trong năm,-,-,-,60.099.342.792,60.099.342.792,,,,60099342792.0,60099342792.0
"Trích lập Quỹ khen thưởng, phúc lợi và Quỹ thưởng người quản lý Công ty (i)","Trích lập Quỹ khen thưởng, phúc lợi và Quỹ thưởng người quản lý Công ty (i)","Trích lập Quỹ khen thưởng, phúc lợi và Quỹ thưởng người quản lý Công ty (i)",-,-,-,(17.949.000.000),(17.949.000.000),,,,-17949000000.0,-17949000000.0
Số dư cuối năm nay,Số dư cuối năm nay,Số dư cuối năm nay,3.815.899.110.000,70.877.131.506,918.345.539.128,60.655.373.445,4.865.777.154.079,3815899110000.0,70877131506.0,918345539128.0,60655373445.0,4865777154079.0
