row_label_raw,row_label_full,Ông Nguyễn Quốc Thắng > Ông Lưu Đình Cường,Tổng giám đốc (bổ nhiệm ngày 30 tháng 7 năm 2024)Phó Tổng giám đốc (được giao Quyền Tổng giám đốc từ ngày 14 tháng 6 năm 2024 đến ngày 29 tháng 7 năm 2024) > Tổng giám đốc (thôi giữ chức vụ từ ngày 14 tháng 6 năm 2024),numeric__Tổng giám đốc (bổ nhiệm ngày 30 tháng 7 năm 2024)Phó Tổng giám đốc (được giao Quyền Tổng giám đốc từ ngày 14 tháng 6 năm 2024 đến ngày 29 tháng 7 năm 2024) > Tổng giám đốc (thôi giữ chức vụ từ ngày 14 tháng 6 năm 2024)
Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Ông Phạm Kiến Phương,Phó Tổng giám đốc,
Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Ông Bùi Nguyên Quỳnh,Phó Tổng giám đốc,
