row_label_raw,row_label_full,col_0,Quyền thu phí hoàn vốn Dự án B.O.T (*),Quyền sử dụng đất,Chương trình phần mềm,Bản quyền,Tài sản khác,Tổng cộng,numeric__Quyền thu phí hoàn vốn Dự án B.O.T (*),numeric__Quyền sử dụng đất,numeric__Chương trình phần mềm,numeric__Bản quyền,numeric__Tài sản khác,numeric__Tổng cộng
,,,VND,VND,VND,VND,VND,VND,,,,,,
NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,NGUYÊN GIÁ,,,,,,
Số dư đầu năm,NGUYÊN GIÁ > Số dư đầu năm,Số dư đầu năm,-,102.202.954.505,31.439.734.630,3.247.354.120,8.349.028.561,145.239.071.816,,102202954505.0,31439734630.0,3247354120.0,8349028561.0,145239071816.0
Tăng trong năm,NGUYÊN GIÁ > Tăng trong năm,Tăng trong năm,-,-,59.950.000,-,-,59.950.000,,,59950000.0,,,59950000.0
Đầu tư xây dựng cơ bản hoàn thành,NGUYÊN GIÁ > Đầu tư xây dựng cơ bản hoàn thành,Đầu tư xây dựng cơ bản hoàn thành,548.066.173.755,-,-,-,-,548.066.173.755,548066173755.0,,,,,548066173755.0
Giảm khác,NGUYÊN GIÁ > Giảm khác,Giảm khác,-,(348.882.500),-,-,-,(348.882.500),,-348882500.0,,,,-348882500.0
Số dư cuối năm,NGUYÊN GIÁ > Số dư cuối năm,Số dư cuối năm,548.066.173.755,101.854.072.005,31.499.684.630,3.247.354.120,8.349.028.561,693.016.313.071,548066173755.0,101854072005.0,31499684630.0,3247354120.0,8349028561.0,693016313071.0
GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,GIÁ TRỊ HAO MÒN LỦY KẾ,,,,,,
Số dư đầu năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư đầu năm,Số dư đầu năm,-,9.197.084.220,27.343.666.248,3.247.354.120,1.558.214.072,41.346.318.660,,9197084220.0,27343666248.0,3247354120.0,1558214072.0,41346318660.0
Khẩu hao trong năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Khẩu hao trong năm,Khẩu hao trong năm,8.079.353.117,519.964.395,1.199.089.964,-,956.502.855,10.754.910.331,8079353117.0,519964395.0,1199089964.0,,956502855.0,10754910331.0
Số dư cuối năm,GIÁ TRỊ HAO MÒN LỦY KẾ > Số dư cuối năm,Số dư cuối năm,8.079.353.117,9.717.048.615,28.542.756.212,3.247.354.120,2.514.716.927,52.101.228.991,8079353117.0,9717048615.0,28542756212.0,3247354120.0,2514716927.0,52101228991.0
GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,GIÁ TRỊ CÒN LẠI,,,,,,
Tại ngày đầu năm,GIÁ TRỊ CÒN LẠI > Tại ngày đầu năm,Tại ngày đầu năm,-,93.005.870.285,4.096.068.382,-,6.790.814.489,103.892.753.156,,93005870285.0,4096068382.0,,6790814489.0,103892753156.0
Tại ngày cuối năm,GIÁ TRỊ CÒN LẠI > Tại ngày cuối năm,Tại ngày cuối năm,539.986.820.638,92.137.023.390,2.956.928.418,-,5.834.311.634,640.915.084.080,539986820638.0,92137023390.0,2956928418.0,,5834311634.0,640915084080.0
