row_label_raw,row_label_full,col_0,Bàng cân đối kế toán,Bàng cân đối kế toán_1,Báo cáo kết quả hoạt động kinh doanh,Báo cáo kết quả hoạt động kinh doanh_1,numeric__Bàng cân đối kế toán,numeric__Bàng cân đối kế toán_1,numeric__Báo cáo kết quả hoạt động kinh doanh,numeric__Báo cáo kết quả hoạt động kinh doanh_1
,,,Số cuối năm,VND Số đầu năm,Năm nay,VND Năm trước,,,,
Chỉ phí phải trả,Chỉ phí phải trả,Chỉ phí phải trả,10.475.449.408,7.499.584.585,(2.975.864.823),3.524.149.415,10475449408.0,7499584585.0,-2975864823.0,3524149415.0
Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,Dự phòng giảm giá hàng tồn kho,1.747.805.218,1.517.003.937,(230.801.281),118.774.467,1747805218.0,1517003937.0,-230801281.0,118774467.0
Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,Chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,(174.952.143),(53.404.097),121.548.046,158.294.985,-174952143.0,-53404097.0,121548046.0,158294985.0
Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,Tài sản thuế thu nhập hoãn lại,12.048.302.483,8.963.184.425,,,12048302483.0,8963184425.0,,
(Thu nhập)/Chi phí thuế thu nhập hoãn lại,(Thu nhập)/Chi phí thuế thu nhập hoãn lại,(Thu nhập)/Chi phí thuế thu nhập hoãn lại,,,(3.085.118.058),3.801.218.867,,,-3085118058.0,3801218867.0
